Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_266_641,VPWR,li1,301.0700,737.1200,1.800000
FILLER_266_629,VPWR,li1,297.6200,737.1200,1.800000
FILLER_266_617,VPWR,li1,292.1000,737.1200,1.800000
FILLER_266_613,VPWR,li1,288.1900,737.1200,1.800000
FILLER_266_601,VPWR,li1,284.7400,737.1200,1.800000
FILLER_266_589,VPWR,li1,279.2200,737.1200,1.800000
FILLER_266_585,VPWR,li1,275.3100,737.1200,1.800000
FILLER_266_573,VPWR,li1,271.8600,737.1200,1.800000
FILLER_266_561,VPWR,li1,266.3400,737.1200,1.800000
FILLER_266_557,VPWR,li1,262.4300,737.1200,1.800000
FILLER_266_545,VPWR,li1,258.9800,737.1200,1.800000
FILLER_266_533,VPWR,li1,253.4600,737.1200,1.800000
FILLER_266_529,VPWR,li1,249.5500,737.1200,1.800000
FILLER_266_517,VPWR,li1,246.1000,737.1200,1.800000
FILLER_266_505,VPWR,li1,240.5800,737.1200,1.800000
FILLER_266_501,VPWR,li1,236.6700,737.1200,1.800000
FILLER_266_489,VPWR,li1,233.2200,737.1200,1.800000
FILLER_266_477,VPWR,li1,227.7000,737.1200,1.800000
FILLER_266_473,VPWR,li1,223.7900,737.1200,1.800000
FILLER_266_461,VPWR,li1,220.3400,737.1200,1.800000
FILLER_266_449,VPWR,li1,214.8200,737.1200,1.800000
FILLER_266_445,VPWR,li1,210.9100,737.1200,1.800000
FILLER_266_433,VPWR,li1,207.4600,737.1200,1.800000
FILLER_266_421,VPWR,li1,201.9400,737.1200,1.800000
FILLER_266_417,VPWR,li1,198.0300,737.1200,1.800000
FILLER_266_409,VPWR,li1,195.5000,737.1200,1.800000
FILLER_266_389,VPWR,li1,184.6900,737.1200,1.800000
FILLER_266_377,VPWR,li1,181.7000,737.1200,1.800000
FILLER_266_365,VPWR,li1,176.1800,737.1200,1.800000
FILLER_266_361,VPWR,li1,172.2700,737.1200,1.800000
FILLER_266_349,VPWR,li1,168.8200,737.1200,1.800000
FILLER_266_337,VPWR,li1,163.3000,737.1200,1.800000
FILLER_266_333,VPWR,li1,159.3900,737.1200,1.800000
FILLER_266_321,VPWR,li1,155.9400,737.1200,1.800000
FILLER_266_309,VPWR,li1,150.4200,737.1200,1.800000
FILLER_266_305,VPWR,li1,146.5100,737.1200,1.800000
FILLER_266_293,VPWR,li1,143.0600,737.1200,1.800000
FILLER_266_281,VPWR,li1,137.5400,737.1200,1.800000
FILLER_266_277,VPWR,li1,133.6300,737.1200,1.800000
FILLER_266_265,VPWR,li1,130.1800,737.1200,1.800000
FILLER_266_253,VPWR,li1,124.6600,737.1200,1.800000
FILLER_266_249,VPWR,li1,120.7500,737.1200,1.800000
FILLER_266_237,VPWR,li1,117.3000,737.1200,1.800000
FILLER_266_225,VPWR,li1,111.7800,737.1200,1.800000
FILLER_266_221,VPWR,li1,107.8700,737.1200,1.800000
FILLER_266_209,VPWR,li1,104.4200,737.1200,1.800000
FILLER_266_197,VPWR,li1,98.9000,737.1200,1.800000
FILLER_266_193,VPWR,li1,94.9900,737.1200,1.800000
FILLER_266_181,VPWR,li1,91.5400,737.1200,1.800000
FILLER_266_169,VPWR,li1,86.0200,737.1200,1.800000
FILLER_266_165,VPWR,li1,82.1100,737.1200,1.800000
FILLER_266_153,VPWR,li1,78.6600,737.1200,1.800000
FILLER_266_141,VPWR,li1,73.1400,737.1200,1.800000
FILLER_266_138,VPWR,li1,69.4600,737.1200,1.800000
FILLER_266_130,VPWR,li1,67.1600,737.1200,1.800000
FILLER_266_119,VPWR,li1,60.4900,737.1200,1.800000
FILLER_266_113,VPWR,li1,58.8800,737.1200,1.800000
FILLER_266_109,VPWR,li1,56.3500,737.1200,1.800000
FILLER_266_97,VPWR,li1,52.9000,737.1200,1.800000
FILLER_266_85,VPWR,li1,47.3800,737.1200,1.800000
FILLER_266_81,VPWR,li1,43.4700,737.1200,1.800000
FILLER_266_69,VPWR,li1,40.0200,737.1200,1.800000
FILLER_266_57,VPWR,li1,34.5000,737.1200,1.800000
FILLER_266_53,VPWR,li1,30.5900,737.1200,1.800000
FILLER_266_41,VPWR,li1,27.1400,737.1200,1.800000
FILLER_266_29,VPWR,li1,21.6200,737.1200,1.800000
FILLER_266_27,VPWR,li1,18.1700,737.1200,1.800000
FILLER_266_15,VPWR,li1,15.1800,737.1200,1.800000
FILLER_266_3,VPWR,li1,9.6600,737.1200,1.800000
FILLER_265_1575,VPWR,li1,730.2500,731.6800,1.800000
FILLER_265_1569,VPWR,li1,728.6400,731.6800,1.800000
FILLER_265_1567,VPWR,li1,726.5700,731.6800,1.800000
FILLER_265_1561,VPWR,li1,724.9600,731.6800,1.800000
FILLER_265_1549,VPWR,li1,720.8200,731.6800,1.800000
FILLER_265_1537,VPWR,li1,715.3000,731.6800,1.800000
FILLER_265_1525,VPWR,li1,709.7800,731.6800,1.800000
FILLER_265_1513,VPWR,li1,704.2600,731.6800,1.800000
FILLER_265_1511,VPWR,li1,700.8100,731.6800,1.800000
FILLER_265_1505,VPWR,li1,699.2000,731.6800,1.800000
FILLER_265_1493,VPWR,li1,695.0600,731.6800,1.800000
FILLER_265_1481,VPWR,li1,689.5400,731.6800,1.800000
FILLER_265_1469,VPWR,li1,684.0200,731.6800,1.800000
FILLER_265_1457,VPWR,li1,678.5000,731.6800,1.800000
FILLER_265_1455,VPWR,li1,675.0500,731.6800,1.800000
FILLER_265_1449,VPWR,li1,673.4400,731.6800,1.800000
FILLER_265_1437,VPWR,li1,669.3000,731.6800,1.800000
FILLER_265_1425,VPWR,li1,663.7800,731.6800,1.800000
FILLER_265_1413,VPWR,li1,658.2600,731.6800,1.800000
FILLER_265_1401,VPWR,li1,652.7400,731.6800,1.800000
FILLER_265_1399,VPWR,li1,649.2900,731.6800,1.800000
FILLER_265_1393,VPWR,li1,647.6800,731.6800,1.800000
FILLER_265_1381,VPWR,li1,643.5400,731.6800,1.800000
FILLER_265_1369,VPWR,li1,638.0200,731.6800,1.800000
FILLER_265_1357,VPWR,li1,632.5000,731.6800,1.800000
FILLER_265_1345,VPWR,li1,626.9800,731.6800,1.800000
FILLER_265_1343,VPWR,li1,623.5300,731.6800,1.800000
FILLER_265_1337,VPWR,li1,621.9200,731.6800,1.800000
FILLER_265_1325,VPWR,li1,617.7800,731.6800,1.800000
FILLER_265_1313,VPWR,li1,612.2600,731.6800,1.800000
FILLER_265_1301,VPWR,li1,606.7400,731.6800,1.800000
FILLER_265_1289,VPWR,li1,601.2200,731.6800,1.800000
FILLER_265_1287,VPWR,li1,597.7700,731.6800,1.800000
FILLER_265_1281,VPWR,li1,596.1600,731.6800,1.800000
FILLER_265_1269,VPWR,li1,592.0200,731.6800,1.800000
FILLER_265_1257,VPWR,li1,586.5000,731.6800,1.800000
FILLER_265_1245,VPWR,li1,580.9800,731.6800,1.800000
FILLER_265_1233,VPWR,li1,575.4600,731.6800,1.800000
FILLER_265_1231,VPWR,li1,572.0100,731.6800,1.800000
FILLER_265_1219,VPWR,li1,569.0200,731.6800,1.800000
FILLER_265_1207,VPWR,li1,563.5000,731.6800,1.800000
FILLER_265_1195,VPWR,li1,557.9800,731.6800,1.800000
FILLER_265_1183,VPWR,li1,552.4600,731.6800,1.800000
FILLER_265_1177,VPWR,li1,547.1700,731.6800,1.800000
FILLER_265_1175,VPWR,li1,546.2500,731.6800,1.800000
FILLER_265_1169,VPWR,li1,544.6400,731.6800,1.800000
FILLER_265_1157,VPWR,li1,540.5000,731.6800,1.800000
FILLER_265_1145,VPWR,li1,534.9800,731.6800,1.800000
FILLER_265_1133,VPWR,li1,529.4600,731.6800,1.800000
FILLER_265_1121,VPWR,li1,523.9400,731.6800,1.800000
FILLER_265_1119,VPWR,li1,520.4900,731.6800,1.800000
FILLER_265_1113,VPWR,li1,518.8800,731.6800,1.800000
FILLER_265_1101,VPWR,li1,514.7400,731.6800,1.800000
FILLER_265_1089,VPWR,li1,509.2200,731.6800,1.800000
FILLER_265_1077,VPWR,li1,503.7000,731.6800,1.800000
FILLER_265_1065,VPWR,li1,498.1800,731.6800,1.800000
FILLER_265_1063,VPWR,li1,494.7300,731.6800,1.800000
FILLER_265_1057,VPWR,li1,493.1200,731.6800,1.800000
FILLER_265_1045,VPWR,li1,488.9800,731.6800,1.800000
FILLER_265_1033,VPWR,li1,483.4600,731.6800,1.800000
FILLER_265_1021,VPWR,li1,477.9400,731.6800,1.800000
FILLER_265_1009,VPWR,li1,472.4200,731.6800,1.800000
FILLER_265_1007,VPWR,li1,468.9700,731.6800,1.800000
FILLER_265_1001,VPWR,li1,467.3600,731.6800,1.800000
FILLER_265_989,VPWR,li1,463.2200,731.6800,1.800000
FILLER_265_977,VPWR,li1,457.7000,731.6800,1.800000
FILLER_265_965,VPWR,li1,452.1800,731.6800,1.800000
FILLER_265_953,VPWR,li1,446.6600,731.6800,1.800000
FILLER_265_949,VPWR,li1,442.7500,731.6800,1.800000
FILLER_265_937,VPWR,li1,439.3000,731.6800,1.800000
FILLER_265_925,VPWR,li1,433.7800,731.6800,1.800000
FILLER_265_913,VPWR,li1,428.2600,731.6800,1.800000
FILLER_265_905,VPWR,li1,422.5100,731.6800,1.800000
FILLER_265_897,VPWR,li1,419.9800,731.6800,1.800000
FILLER_265_895,VPWR,li1,417.4500,731.6800,1.800000
FILLER_265_889,VPWR,li1,415.8400,731.6800,1.800000
FILLER_265_877,VPWR,li1,411.7000,731.6800,1.800000
FILLER_265_865,VPWR,li1,406.1800,731.6800,1.800000
FILLER_265_853,VPWR,li1,400.6600,731.6800,1.800000
FILLER_265_841,VPWR,li1,395.1400,731.6800,1.800000
FILLER_265_839,VPWR,li1,391.6900,731.6800,1.800000
FILLER_265_833,VPWR,li1,390.0800,731.6800,1.800000
FILLER_265_821,VPWR,li1,385.9400,731.6800,1.800000
FILLER_265_809,VPWR,li1,380.4200,731.6800,1.800000
FILLER_265_797,VPWR,li1,374.9000,731.6800,1.800000
FILLER_265_785,VPWR,li1,369.3800,731.6800,1.800000
FILLER_265_783,VPWR,li1,365.9300,731.6800,1.800000
FILLER_265_777,VPWR,li1,364.3200,731.6800,1.800000
FILLER_265_765,VPWR,li1,360.1800,731.6800,1.800000
FILLER_265_753,VPWR,li1,354.6600,731.6800,1.800000
FILLER_265_741,VPWR,li1,349.1400,731.6800,1.800000
FILLER_265_729,VPWR,li1,343.6200,731.6800,1.800000
FILLER_265_727,VPWR,li1,340.1700,731.6800,1.800000
FILLER_265_721,VPWR,li1,338.5600,731.6800,1.800000
FILLER_265_709,VPWR,li1,334.4200,731.6800,1.800000
FILLER_265_697,VPWR,li1,328.9000,731.6800,1.800000
FILLER_265_685,VPWR,li1,323.3800,731.6800,1.800000
FILLER_265_673,VPWR,li1,317.8600,731.6800,1.800000
FILLER_265_671,VPWR,li1,314.4100,731.6800,1.800000
FILLER_265_665,VPWR,li1,312.8000,731.6800,1.800000
FILLER_265_653,VPWR,li1,308.6600,731.6800,1.800000
FILLER_265_641,VPWR,li1,303.1400,731.6800,1.800000
FILLER_265_629,VPWR,li1,297.6200,731.6800,1.800000
FILLER_265_617,VPWR,li1,292.1000,731.6800,1.800000
FILLER_265_615,VPWR,li1,288.6500,731.6800,1.800000
FILLER_265_609,VPWR,li1,287.0400,731.6800,1.800000
FILLER_265_597,VPWR,li1,282.9000,731.6800,1.800000
FILLER_265_585,VPWR,li1,277.3800,731.6800,1.800000
FILLER_265_573,VPWR,li1,271.8600,731.6800,1.800000
FILLER_265_561,VPWR,li1,266.3400,731.6800,1.800000
FILLER_265_559,VPWR,li1,262.8900,731.6800,1.800000
FILLER_265_553,VPWR,li1,261.2800,731.6800,1.800000
FILLER_265_541,VPWR,li1,257.1400,731.6800,1.800000
FILLER_265_529,VPWR,li1,251.6200,731.6800,1.800000
FILLER_265_517,VPWR,li1,246.1000,731.6800,1.800000
FILLER_265_505,VPWR,li1,240.5800,731.6800,1.800000
FILLER_265_503,VPWR,li1,237.1300,731.6800,1.800000
FILLER_265_497,VPWR,li1,235.5200,731.6800,1.800000
FILLER_265_485,VPWR,li1,231.3800,731.6800,1.800000
FILLER_265_473,VPWR,li1,225.8600,731.6800,1.800000
FILLER_265_461,VPWR,li1,220.3400,731.6800,1.800000
FILLER_265_449,VPWR,li1,214.8200,731.6800,1.800000
FILLER_265_447,VPWR,li1,211.3700,731.6800,1.800000
FILLER_265_441,VPWR,li1,209.7600,731.6800,1.800000
FILLER_265_429,VPWR,li1,205.6200,731.6800,1.800000
FILLER_265_417,VPWR,li1,200.1000,731.6800,1.800000
FILLER_265_405,VPWR,li1,194.5800,731.6800,1.800000
FILLER_265_393,VPWR,li1,189.0600,731.6800,1.800000
FILLER_265_391,VPWR,li1,185.6100,731.6800,1.800000
FILLER_265_385,VPWR,li1,184.0000,731.6800,1.800000
FILLER_265_373,VPWR,li1,179.8600,731.6800,1.800000
FILLER_265_361,VPWR,li1,174.3400,731.6800,1.800000
FILLER_265_349,VPWR,li1,168.8200,731.6800,1.800000
FILLER_265_337,VPWR,li1,163.3000,731.6800,1.800000
FILLER_265_335,VPWR,li1,159.8500,731.6800,1.800000
FILLER_265_329,VPWR,li1,158.2400,731.6800,1.800000
FILLER_265_317,VPWR,li1,154.1000,731.6800,1.800000
FILLER_265_305,VPWR,li1,148.5800,731.6800,1.800000
FILLER_265_293,VPWR,li1,143.0600,731.6800,1.800000
FILLER_265_281,VPWR,li1,137.5400,731.6800,1.800000
FILLER_265_279,VPWR,li1,134.0900,731.6800,1.800000
FILLER_265_273,VPWR,li1,132.4800,731.6800,1.800000
