net,length_um
net623,261.125µm
net199,259.81µm
net269,259.24µm
net272,258.02µm
_1429_,257.52µm
net248,257.33µm
net126,255.815µm
net195,255.75µm
net270,254.04µm
net240,253.94µm
net285,251.1µm
net308,249.65µm
net251,247.58µm
net307,247.51µm
net305,247.46µm
net284,247.3µm
net101,246.55µm
clknet_3_7_0_wb_clk_i_regs,245.22µm
net107,244.68µm
uart_inst.CFG_REG\[2\],243.86µm
net224,243.75µm
net268,243.75µm
_3010_,243.54µm
net401,243.395µm
_2540_,242.63µm
_3038_,242.4µm
net162,242.27µm
net402,241.66µm
net85,241.5µm
net139,241.21µm
net106,240.9µm
net541,240.71µm
_1292_,240.6µm
net149,240.38µm
net117,240.18µm
uart_inst.CFG_REG\[5\],238.02µm
clknet_leaf_11_wb_clk_i_regs,237.82µm
net90,237.67µm
net198,236.915µm
net166,236.485µm
clknet_leaf_30_wb_clk_i_regs,235.84µm
net108,231.66µm
net287,230.82µm
net190,228.86µm
net242,228.82µm
net495,228.77µm
net212,228.69µm
net261,228.54µm
net102,228.38µm
clknet_leaf_56_wb_clk_i_regs,228.115µm
clknet_leaf_18_wb_clk_i_regs,228.1µm
net187,227.77µm
net256,227.57µm
net100,227.5µm
_3045_,227.02µm
net253,226.92µm
net79,226.83µm
net180,226.76µm
net282,225.8µm
net221,225.68µm
net121,225.655µm
clknet_leaf_53_wb_clk_i_regs,224.68µm
net173,223.935µm
uart_inst.CFG_REG\[7\],223.595µm
_1518_,223.46µm
net176,220.835µm
clknet_leaf_15_wb_clk_i_regs,220.72µm
_1892_,220.105µm
net81,219.38µm
_2549_,216.59µm
_1484_,216.53µm
_3037_,216.36µm
_2912_,215.78µm
net296,215.42µm
net86,214.5µm
net103,214.28µm
net130,214.22µm
net111,214.015µm
_3034_,213.4µm
net98,213.28µm
net104,212.7µm
net300,212.68µm
_1430_,212.44µm
clknet_leaf_49_wb_clk_i_regs,212.39µm
net345,212µm
net333,211.58µm
net99,211.36µm
net83,211.14µm
net241,211.01µm
_3007_,210.64µm
pwm_inst.TMR_WIRE\[29\],210.63µm
net92,210.43µm
net318,210.27µm
net295,210.22µm
net314,210.215µm
_2752_,210.06µm
_3039_,209.86µm
net432,209.34µm
net94,209.28µm
net185,208.93µm
clknet_3_6_0_wb_clk_i_regs,208.42µm
net150,208.35µm
net205,207.73µm
net309,207.58µm
_1955_,206.925µm
net137,206.66µm
net403,206.11µm
net168,205.22µm
net80,204.81µm
net322,204.765µm
net264,204.54µm
uart_inst.CFG_REG\[4\],204.49µm
net97,204.44µm
clknet_leaf_13_wb_clk_i_regs,204.3µm
net377,203.86µm
_2097_,203.32µm
net482,203.05µm
net267,202.5µm
net373,202.28µm
net317,201.38µm
net391,201.14µm
net306,201.135µm
_1913_,201.12µm
net96,201.06µm
net412,201.06µm
net313,200.64µm
_3032_,200.62µm
net207,200.41µm
_3046_,200.18µm
net192,199.86µm
_3022_,199.3µm
_3036_,198.51µm
_3024_,198.34µm
net493,198.24µm
net219,198.2µm
uart_inst.instance_to_wrap.tx_done,197.5µm
uart_inst.RXF,197.46µm
dat_o\[2\]\[29\],197.14µm
pwm_inst.TMR_WIRE\[6\],196.89µm
net178,196.375µm
net84,196.28µm
net501,196.26µm
net118,195.01µm
net260,194.98µm
net274,193.88µm
net141,193.74µm
net487,193.645µm
net320,193.18µm
clknet_leaf_23_wb_clk_i_regs,192.98µm
net331,192.935µm
net279,192.62µm
_3035_,191.96µm
net82,191.91µm
_1259_,191.58µm
net400,191.415µm
net286,191.33µm
net239,191.18µm
net140,191.08µm
net109,190.82µm
pwm_inst.RELOAD_REG\[10\],190.56µm
net183,190.12µm
pwm_inst.RELOAD_REG\[17\],189.695µm
_3008_,189.53µm
net521,189.52µm
net419,189.28µm
net294,188.2µm
net128,187.855µm
pwm_inst.instance_to_wrap.TMREN_PE.in,187.79µm
net436,187.495µm
net263,187.08µm
_3017_,186.66µm
clknet_leaf_1_wb_clk_i_regs,186.58µm
_1268_,186.555µm
net164,186.48µm
uart_inst.instance_to_wrap.loopback_en,186.36µm
net211,185.915µm
net215,185.72µm
clknet_leaf_36_wb_clk_i_regs,185.44µm
net216,185.16µm
pwm_inst.RELOAD_REG\[26\],185.08µm
net255,185.015µm
pwm_inst.TMR_WIRE\[3\],183.965µm
net184,183.795µm
_1218_,183.78µm
net301,183.7µm
pwm_inst.RELOAD_REG\[7\],183.685µm
dat_o\[2\]\[17\],183.49µm
pwm_inst.RELOAD_REG\[22\],183.415µm
net252,183.16µm
net181,182.97µm
net217,182.92µm
_2743_,182.68µm
net298,182.66µm
net289,182.53µm
pwm_inst.CMPY_REG\[6\],182.425µm
net324,182.2µm
net374,182.08µm
_3018_,181.935µm
net431,181.84µm
pwm_inst.TMR_WIRE\[5\],181.62µm
net233,181.56µm
_1483_,181.48µm
net312,181.26µm
net292,181.015µm
_2917_,180.99µm
net358,180.74µm
pwm_inst.RELOAD_REG\[5\],180.3µm
net157,179.615µm
net209,179.525µm
net122,179.44µm
clknet_leaf_46_wb_clk_i_regs,179.06µm
_3006_,178.94µm
net491,178.21µm
_3042_,178.08µm
net112,177.945µm
pwm_inst.TMR_WIRE\[20\],177.075µm
_2224_,176.925µm
net105,176.9µm
uart_inst.TXE,175.22µm
net250,174.45µm
net229,174.44µm
_1461_,174.385µm
pwm_inst.RELOAD_REG\[6\],174.02µm
_1659_,173.86µm
_2692_,173.65µm
net213,173.22µm
net161,172.84µm
_3029_,172.28µm
_1265_,172.24µm
net155,171.6µm
pwm_inst.RELOAD_REG\[9\],171.44µm
net89,171.32µm
pwm_inst.RELOAD_REG\[3\],171.19µm
_3043_,170.655µm
net503,170.49µm
net88,170.44µm
net95,169.94µm
_1891_,169.78µm
net171,169.47µm
pwm_inst.RELOAD_REG\[4\],169.14µm
_3014_,169.135µm
pwm_inst.RELOAD_REG\[1\],169.095µm
net113,169.04µm
net179,168.85µm
_3041_,168.78µm
net120,168.415µm
net293,168.16µm
_2548_,168.06µm
_3033_,168.02µm
net93,167.9µm
net172,167.68µm
net557,167.49µm
pwm_inst.RELOAD_REG\[28\],167.2µm
pwm_inst.TMR_WIRE\[2\],167.05µm
clknet_leaf_34_wb_clk_i_regs,166.995µm
net390,166.66µm
net124,166.37µm
pwm_inst.RELOAD_REG\[20\],166.31µm
net302,166.16µm
net222,166.125µm
dat_o\[2\]\[20\],165.95µm
net288,165.78µm
net144,165.515µm
net511,165.5µm
net76,164.86µm
net254,164.82µm
net258,164.7µm
net170,164.295µm
_2638_,164.12µm
_3031_,163.72µm
net363,163.22µm
net513,162.63µm
_2784_,162.45µm
_2132_,162.405µm
ack\[1\],162.32µm
net142,162.09µm
net299,161.995µm
pwm_inst.TMR_WIRE\[24\],161.9µm
net349,161.62µm
_2111_,161.54µm
_3030_,161.095µm
net321,161.04µm
clknet_leaf_19_wb_clk_i_regs,161.02µm
net291,160.64µm
net159,160.615µm
pwm_inst.RELOAD_REG\[23\],160.185µm
uart_inst.instance_to_wrap.rx_en,159.67µm
net518,159.4µm
net505,159.3µm
net91,158.91µm
ack\[2\],158.68µm
net262,158.22µm
net522,158.22µm
_1566_,157.86µm
net376,157.83µm
net281,157.82µm
net223,157.61µm
net417,157.28µm
pwm_inst.instance_to_wrap.tmr_dir,157.23µm
pwm_inst.TMR_WIRE\[31\],157.08µm
pwm_inst.RELOAD_REG\[29\],156.52µm
_2757_,156.29µm
_2546_,156.22µm
pwm_inst.RELOAD_REG\[19\],156.14µm
clknet_leaf_10_wb_clk_i_regs,155.98µm
net136,155.64µm
clknet_leaf_52_wb_clk_i_regs,155.58µm
dat_o\[2\]\[19\],155.5µm
_1279_,155.35µm
_2723_,154.74µm
net616,154.3µm
pwm_inst.RELOAD_REG\[24\],153.595µm
pwm_inst.CMPX_REG\[15\],153.28µm
_3026_,152.535µm
net549,152.09µm
dat_o\[2\]\[22\],151.67µm
_2179_,151.64µm
net355,151.335µm
net600,151.2µm
net527,151.19µm
net558,151.07µm
uart_inst.CFG_REG\[3\],151.06µm
_2881_,150.985µm
net119,150.61µm
dat_o\[2\]\[24\],150.21µm
_3025_,150.1µm
net148,149.82µm
net368,149.26µm
clknet_leaf_40_wb_clk_i_regs,149.12µm
_3028_,149.1µm
net275,149.02µm
clknet_leaf_6_wb_clk_i_regs,148.86µm
dat_o\[2\]\[18\],148.68µm
pwm_inst.RELOAD_REG\[16\],148.67µm
clknet_leaf_5_wb_clk_i_regs,148.36µm
net341,148.12µm
clknet_leaf_8_wb_clk_i_regs,147.74µm
net497,147.56µm
_2835_,147.48µm
net395,146.74µm
net383,146.69µm
clknet_leaf_29_wb_clk_i_regs,146.595µm
net382,145.98µm
net206,145.38µm
net310,145.16µm
net362,145.14µm
net153,145.13µm
_1611_,144.75µm
net290,144.61µm
clknet_leaf_12_wb_clk_i_regs,144.61µm
_2814_,143.96µm
net385,143.78µm
net110,143.76µm
net257,143.67µm
clknet_leaf_20_wb_clk_i_regs,143.44µm
net200,143.275µm
_1535_,143.24µm
_1464_,143.18µm
_1260_,143.02µm
uart_inst.CFG_REG\[0\],142.96µm
_2853_,142.785µm
dat_o\[2\]\[8\],142.76µm
net396,142.7µm
uart_inst.instance_to_wrap.fifo_tx.full,142.61µm
clknet_leaf_47_wb_clk_i_regs,141.97µm
_2615_,141.9µm
net266,141.52µm
net410,141.32µm
net325,141.13µm
net133,141.07µm
net87,141.035µm
_1270_,141.02µm
clknet_leaf_50_wb_clk_i_regs,140.62µm
pwm_inst.CMPX_REG\[6\],140.5µm
_1267_,140.46µm
net304,139.82µm
net429,139.31µm
_2130_,139.22µm
pwm_inst.CMPX_REG\[5\],139.08µm
_1291_,138.66µm
pwm_inst.TMR_WIRE\[21\],138.56µm
net177,137.91µm
_2858_,137.565µm
clknet_leaf_2_wb_clk_i_regs,137.54µm
clknet_leaf_42_wb_clk_i_regs,137.5µm
net543,137.28µm
net163,136.99µm
net238,136.92µm
_1462_,136.83µm
_2112_,136.38µm
pwm_inst.RELOAD_REG\[27\],135.555µm
dat_o\[2\]\[23\],135.4µm
_2591_,135.34µm
pwm_inst.TMR_WIRE\[0\],135.06µm
pwm_inst.CMPY_REG\[5\],135µm
_1283_,134.87µm
_1826_,134.64µm
_2871_,134.535µm
_3019_,134.43µm
_2891_,134.355µm
pwm_inst.TMR_WIRE\[8\],133.88µm
_3012_,133.3µm
_2251_,133.225µm
pwm_inst.CMPY_REG\[20\],133.1µm
clknet_leaf_54_wb_clk_i_regs,133.075µm
net115,133.02µm
net259,132.96µm
uart_inst.instance_to_wrap.fifo_tx.r_ptr_reg\[3\],132.9µm
net539,132.86µm
pwm_inst.RELOAD_REG\[13\],132.795µm
net323,132.26µm
clknet_leaf_41_wb_clk_i_regs,132.08µm
_1480_,131.92µm
clknet_leaf_14_wb_clk_i_regs,131.64µm
net595,131.44µm
net535,131.1µm
clknet_leaf_27_wb_clk_i_regs,130.58µm
net545,130.54µm
dat_o\[2\]\[25\],130.36µm
net214,130.24µm
_2262_,130.2µm
_2235_,129.64µm
net265,128.92µm
net210,128.62µm
net413,128.6µm
net405,128.24µm
dat_o\[2\]\[4\],128.22µm
clknet_leaf_3_wb_clk_i_regs,127.95µm
net384,127.72µm
net423,127.615µm
_2854_,127.6µm
net389,127.18µm
_2592_,126.98µm
_2844_,126.795µm
dat_o\[2\]\[3\],126.785µm
_1269_,126.455µm
_2790_,126.1µm
net316,126.1µm
_2902_,125.6µm
pwm_inst.instance_to_wrap.tmr_start,125.26µm
pwm_inst.CMPX_REG\[3\],125.055µm
net387,124.74µm
net188,124.72µm
_2110_,124.6µm
pwm_inst.RELOAD_REG\[31\],123.94µm
dat_o\[2\]\[28\],123.46µm
net315,123.43µm
_1813_,122.9µm
net435,122.54µm
pwm_inst.CMPY_REG\[15\],122.42µm
net420,122.1µm
pwm_inst.CMPY_REG\[0\],121.9µm
_2256_,121.88µm
net379,121.82µm
dat_o\[2\]\[21\],121.54µm
net421,121.34µm
_2818_,121.06µm
pwm_inst.RELOAD_REG\[30\],120.12µm
net160,119.7µm
clknet_leaf_16_wb_clk_i_regs,119.66µm
_2127_,119.42µm
_2675_,119.22µm
_1419_,119.12µm
net398,118.95µm
_2092_,118.92µm
dat_o\[2\]\[31\],118.63µm
dat_o\[2\]\[26\],118.59µm
_1840_,118.3µm
pwm_inst.CFG_REG\[1\],118.05µm
_2603_,117.88µm
net146,117.72µm
_1234_,117.66µm
_2573_,117.28µm
net380,117.24µm
net394,116.26µm
uart_inst.PR_REG\[15\],115.78µm
dat_o\[2\]\[16\],115.47µm
net147,115.2µm
clknet_leaf_57_wb_clk_i_regs,115.14µm
net182,115.12µm
_2637_,114.98µm
dat_o\[2\]\[1\],114.1µm
_3040_,113.955µm
net560,113.84µm
uart_inst.PR_REG\[6\],113.76µm
net151,113.11µm
net434,113.04µm
net375,112.92µm
clknet_leaf_28_wb_clk_i_regs,112.84µm
net123,112.56µm
_1625_,112.54µm
uart_inst.instance_to_wrap.fifo_rx.r_ptr_reg\[2\],112.495µm
net408,112.48µm
net480,112.38µm
clknet_leaf_38_wb_clk_i_regs,111.8µm
net430,111.56µm
uart_inst.instance_to_wrap.uart_rx.f_error_reg,111.44µm
net553,111.315µm
_1455_,110.98µm
_1275_,110.95µm
dat_o\[2\]\[27\],110.83µm
net404,110.15µm
clknet_leaf_37_wb_clk_i_regs,109.84µm
_2116_,109.72µm
clknet_leaf_26_wb_clk_i_regs,109.64µm
_2684_,109.6µm
pwm_inst.CMPX_REG\[23\],109.58µm
net225,108.675µm
net392,108.38µm
pwm_inst.TMR_WIRE\[26\],108.2µm
net415,108.2µm
_2079_,107.64µm
net422,107.54µm
net326,107.46µm
net499,107.34µm
clknet_leaf_43_wb_clk_i_regs,107.26µm
net278,107.2µm
uart_inst.PR_REG\[4\],107µm
pwm_inst.RELOAD_REG\[2\],106.84µm
net273,106.78µm
dat_o\[2\]\[6\],106.5µm
_1261_,106.27µm
net378,105.9µm
pwm_inst.TMR_WIRE\[25\],105.76µm
dat_o\[2\]\[0\],105.62µm
net226,105.3µm
_2888_,105.16µm
_2242_,104.8µm
_1463_,104.74µm
net425,104.72µm
net328,104.4µm
net276,104.275µm
dat_o\[2\]\[15\],103.63µm
_1439_,103.48µm
net311,103.26µm
clknet_leaf_7_wb_clk_i_regs,102.52µm
pwm_inst.CMPY_REG\[9\],102.49µm
net169,102.32µm
net428,102.08µm
pwm_inst.CMPX_REG\[21\],101.94µm
net235,101.915µm
_2908_,101.785µm
_1256_,101.735µm
pwm_inst.CMPY_REG\[3\],101.585µm
uart_inst.RX_FIFO_FLUSH_REG,101.54µm
clknet_leaf_17_wb_clk_i_regs,101.5µm
_1773_,100.94µm
_2261_,100.88µm
dat_o\[2\]\[7\],100.81µm
clknet_leaf_39_wb_clk_i_regs,100.74µm
net397,100.66µm
_1805_,100.4µm
net426,100.32µm
clknet_leaf_24_wb_clk_i_regs,100.055µm
net243,99.745µm
net143,99.48µm
clknet_leaf_44_wb_clk_i_regs,99.36µm
pwm_inst.RELOAD_REG\[15\],98.98µm
clknet_leaf_31_wb_clk_i_regs,98.96µm
_2126_,98.845µm
pwm_inst.CMPX_REG\[26\],98.41µm
pwm_inst.CMPY_REG\[18\],98.22µm
pwm_inst.TMR_WIRE\[28\],98.2µm
_1569_,98.02µm
_1719_,97.86µm
_1745_,97.84µm
_1232_,97.74µm
net386,97.71µm
net125,97.36µm
net334,97.3µm
_2722_,96.78µm
clknet_leaf_55_wb_clk_i_regs,96.68µm
pwm_inst.RELOAD_REG\[0\],96.34µm
pwm_inst.TMR_WIRE\[23\],96.02µm
net607,95.74µm
net418,94.84µm
pwm_inst.TMR_WIRE\[14\],94.61µm
net196,94.08µm
net427,93.99µm
pwm_inst.CMPY_REG\[14\],93.98µm
dat_o\[2\]\[30\],93.76µm
net406,93.535µm
net175,93.18µm
pwm_inst.CMPY_REG\[23\],92.665µm
_2131_,92.64µm
net203,92.54µm
net145,92.39µm
_2219_,91.75µm
net236,91.715µm
uart_inst.CFG_REG\[11\],91.51µm
_2268_,90.5µm
net165,90.42µm
net127,90.14µm
_2619_,90.02µm
_2898_,89.79µm
clknet_leaf_25_wb_clk_i_regs,89.68µm
pwm_inst.CMPY_REG\[10\],89.46µm
_1447_,89.22µm
_2772_,89.12µm
net158,88.9µm
net246,88.9µm
_1264_,88.89µm
_2887_,87.96µm
_1665_,87.46µm
_1893_,87.42µm
uart_inst.TX_FIFO_LEVEL_WIRE\[2\],87.37µm
_1664_,87.2µm
dat_o\[2\]\[5\],87.06µm
net47,87.04µm
_1890_,86.92µm
pwm_inst.TMR_WIRE\[15\],86.89µm
uart_inst.PR_REG\[14\],86.6µm
net231,86.265µm
_1233_,86.18µm
_2806_,86.08µm
uart_inst.en,85.94µm
_2866_,85.92µm
_1305_,85.64µm
_2688_,85.61µm
net338,85.36µm
_1308_,85.04µm
_2822_,84.98µm
pwm_inst.RELOAD_REG\[25\],84.805µm
clknet_leaf_33_wb_clk_i_regs,84.68µm
_2652_,84.54µm
uart_inst.instance_to_wrap.uart_rx.current_state\[2\],84.1µm
_1819_,84µm
net156,83.72µm
net186,83.62µm
pwm_inst.PR_REG\[9\],83.51µm
clknet_leaf_58_wb_clk_i_regs,83.44µm
_2647_,83.34µm
_2544_,83.245µm
uart_inst.instance_to_wrap.uart_rx.p_error_reg,82.96µm
net388,82.92µm
_2899_,82.84µm
uart_inst.instance_to_wrap.fifo_tx.w_ptr_reg\[2\],82.58µm
_2231_,82.54µm
pwm_inst.TMR_WIRE\[10\],82.5µm
_1673_,82.38µm
pwm_inst.TMR_WIRE\[16\],82.32µm
pwm_inst.instance_to_wrap.pwm0_reg,82.22µm
uart_inst.instance_to_wrap.fifo_tx.w_ptr_reg\[3\],82.02µm
_2729_,81.92µm
net277,81.68µm
clknet_leaf_22_wb_clk_i_regs,81.66µm
net189,81.6µm
_1666_,81.42µm
_1530_,81.36µm
_2877_,80.94µm
pwm_inst.CMPY_REG\[1\],80.805µm
_2553_,80.72µm
net407,80.56µm
pwm_inst.CMPY_REG\[8\],80.52µm
_1271_,80.12µm
clknet_leaf_4_wb_clk_i_regs,80.08µm
pwm_inst.TMR_WIRE\[17\],80.02µm
_2674_,79.78µm
_2120_,79.7µm
_1457_,79.65µm
_2172_,79.34µm
_1263_,79.32µm
clknet_leaf_32_wb_clk_i_regs,79.16µm
_1667_,79.06µm
_1381_,78.26µm
_2764_,78.1µm
uart_inst.TX_FIFO_LEVEL_WIRE\[1\],78.1µm
_2545_,78µm
_2138_,77.82µm
net283,77.72µm
uart_inst.MATCH_REG\[6\],77.54µm
net329,77.46µm
pwm_inst.RELOAD_REG\[11\],77.44µm
pwm_inst.RELOAD_REG\[14\],77.14µm
net303,77.12µm
_2157_,76.88µm
pwm_inst.RELOAD_REG\[21\],76.805µm
_2027_,76.66µm
_1278_,76.54µm
pwm_inst.CFG_REG\[2\],76.46µm
pwm_inst.CMPY_REG\[17\],76.29µm
_1951_,76.27µm
net247,76.26µm
pwm_inst.CMPX_REG\[8\],76.24µm
dat_o\[2\]\[9\],76.18µm
uart_inst.PR_REG\[8\],75.84µm
_2252_,75.69µm
_1693_,75.535µm
_2897_,75.2µm
pwm_inst.PR_REG\[0\],75.08µm
pwm_inst.CMPX_REG\[14\],74.975µm
_1465_,74.96µm
net232,74.64µm
net154,74.6µm
_1792_,74.56µm
uart_inst.TX_FIFO_FLUSH_REG,74.47µm
_2975_,74.38µm
net507,74.34µm
_2124_,74.16µm
pwm_inst.PR_REG\[10\],74µm
_2783_,73.68µm
uart_inst.MATCH_REG\[7\],73.665µm
pwm_inst.TMR_WIRE\[22\],73.36µm
uart_inst.MATCH_REG\[8\],72.965µm
pwm_inst.CMPX_REG\[18\],72.96µm
_2760_,72.91µm
_1732_,72.78µm
pwm_inst.CMPY_REG\[24\],72.23µm
_1216_,72.22µm
_1818_,72.22µm
pwm_inst.CMPX_REG\[13\],72.12µm
_2133_,72.04µm
_2176_,71.92µm
_1294_,71.04µm
uart_inst.instance_to_wrap.fifo_rx.w_ptr_reg\[3\],71.04µm
net74,70.96µm
pwm_inst.CMPX_REG\[0\],70.945µm
_2813_,70.82µm
_2865_,70.76µm
net393,70.74µm
pwm_inst.PR_REG\[4\],70.66µm
uart_inst.RIS_REG\[4\],70.36µm
_2149_,70.26µm
_2685_,70.16µm
pwm_inst.TMR_WIRE\[27\],70.16µm
_2154_,70.12µm
_1779_,70.08µm
_2867_,70.08µm
_1669_,70.04µm
_1295_,69.5µm
_2633_,69.5µm
uart_inst.TX_FIFO_LEVEL_WIRE\[0\],69.46µm
dat_o\[2\]\[14\],69.36µm
_1460_,69.24µm
_2845_,69.105µm
net416,68.94µm
_2084_,68.9µm
clknet_leaf_45_wb_clk_i_regs,68.88µm
uart_inst.PR_REG\[1\],68.75µm
_1686_,68.58µm
_2734_,68.56µm
pwm_inst.RELOAD_REG\[18\],68.56µm
net414,68.52µm
_2574_,68.3µm
uart_inst.RIS_REG\[5\],68µm
stb\[2\],67.92µm
pwm_inst.CMPY_REG\[21\],67.78µm
pwm_inst.RELOAD_REG\[12\],67.6µm
pwm_inst.CMPX_REG\[9\],67.285µm
pwm_inst.CMPY_REG\[16\],66.835µm
pwm_inst.PR_REG\[11\],66.72µm
_2794_,66.045µm
_2657_,65.73µm
pwm_inst.TMR_WIRE\[4\],65.68µm
_0046_,65.54µm
_1539_,65.52µm
_1957_,65.36µm
dat_o\[2\]\[13\],65.28µm
net227,65.22µm
_2971_,65.04µm
_2834_,65µm
_1956_,64.99µm
pwm_inst.CMPX_REG\[27\],64.56µm
_2086_,64.26µm
_1786_,64.14µm
_1843_,64.08µm
_2044_,64.04µm
uart_inst.RIS_REG\[6\],63.84µm
net506,63.8µm
uart_inst.RX_FIFO_LEVEL_WIRE\[2\],63.585µm
uart_inst.IC_REG\[4\],63.54µm
pwm_inst.CFG_REG\[0\],63.43µm
_2239_,62.82µm
pwm_inst.TMR_WIRE\[19\],62.3µm
net58,62.26µm
_2121_,62.24µm
pwm_inst.PWMFC_REG\[0\],62.14µm
_2695_,61.88µm
_1788_,61.64µm
_1478_,61.475µm
_2576_,61.47µm
uart_inst.instance_to_wrap.uart_tx.current_state\[0\],61.43µm
_1712_,61.36µm
uart_inst.instance_to_wrap.rx_glitch_filter.tick,61.2µm
uart_inst.RX_FIFO_LEVEL_WIRE\[3\],61.14µm
pwm_inst.TMR_WIRE\[7\],60.82µm
_2649_,60.54µm
_1289_,60.445µm
_2583_,60.1µm
pwm_inst.PWM0CFG_REG\[8\],60.06µm
uart_inst.PR_REG\[9\],59.88µm
_2030_,59.86µm
_2837_,59.84µm
pwm_inst.PR_REG\[3\],59.745µm
_2770_,59.7µm
net280,59.66µm
_1281_,59.58µm
_2180_,59.44µm
_2864_,59.4µm
dat_o\[2\]\[12\],59.3µm
uart_inst.instance_to_wrap.uart_rx.data_reg\[8\],59.26µm
uart_inst.instance_to_wrap.buad_gen.count_reg\[8\],59.12µm
_2660_,58.8µm
pwm_inst.CMPY_REG\[12\],58.62µm
_1377_,58.58µm
uart_inst.CFG_REG\[10\],58.24µm
_1299_,58.22µm
_2846_,58.04µm
_1752_,57.94µm
_2103_,57.9µm
uart_inst.RX_FIFO_LEVEL_WIRE\[0\],57.9µm
_2575_,57.88µm
pwm_inst.PWMDT_REG\[2\],57.72µm
_2175_,57.7µm
pwm_inst.TMR_WIRE\[9\],57.52µm
pwm_inst.CMPX_REG\[10\],57.29µm
pwm_inst.CMPY_REG\[13\],57.24µm
_2708_,57.06µm
_1636_,57µm
net547,56.88µm
uart_inst.instance_to_wrap.fifo_rx.w_ptr_reg\[2\],56.86µm
pwm_inst.CMPX_REG\[29\],56.7µm
uart_inst.TX_FIFO_LEVEL_WIRE\[3\],56.605µm
_1958_,56.395µm
_1863_,56.34µm
_1571_,56.32µm
dat_o\[2\]\[11\],56.26µm
uart_inst.instance_to_wrap.tx_en,55.94µm
_1482_,55.86µm
net409,55.86µm
_2233_,55.85µm
_1725_,55.84µm
_1592_,55.825µm
pwm_inst.CMPY_REG\[19\],55.56µm
_1706_,55.48µm
net346,55.46µm
net193,55.35µm
pwm_inst.PR_REG\[14\],55.28µm
_1266_,55.11µm
_2090_,54.995µm
pwm_inst.TMR_WIRE\[11\],54.88µm
_2128_,54.78µm
