net,length_um
uart_inst.IRQ,883.76µm
net208,777.72µm
net2,709.66µm
net73,685.74µm
pwm_inst.IRQ,680.13µm
net13,657.84µm
net12,643.14µm
net72,638.84µm
net336,629.99µm
clknet_0_wb_clk_i_regs,596.78µm
net344,585.17µm
net11,572.355µm
net10,562.39µm
net75,558.98µm
net69,558.35µm
net68,553.63µm
net70,551.26µm
net14,546.53µm
net71,545.76µm
net340,543.93µm
net30,536.815µm
net5,526.295µm
net24,519.67µm
net7,517.79µm
net581,515.555µm
net26,514.54µm
net29,514.42µm
net9,510.44µm
net15,508.58µm
net34,508.46µm
net20,506.11µm
net8,505.1µm
net25,505.01µm
net33,504.74µm
net22,504.42µm
net4,503.17µm
net21,501.88µm
net28,501.4µm
net18,500.97µm
net19,499.78µm
net16,498.98µm
net32,498.86µm
net3,498.83µm
wb_clk_i,498.71µm
net17,497.12µm
net31,496.64µm
net6,494.05µm
net27,491.41µm
net23,487.36µm
net1,477.115µm
net361,468.855µm
net484,451.22µm
net332,450.295µm
net367,444.33µm
net477,438.5µm
net370,438.03µm
net339,436.56µm
net63,434.38µm
net570,431.28µm
net237,428.725µm
net566,423.38µm
net366,422.48µm
net352,422.12µm
net356,412.94µm
net353,408.64µm
net230,407.29µm
net372,403.26µm
net633,397.1µm
net354,394.12µm
net348,390.52µm
net347,383.09µm
net551,372.205µm
_2541_,371.41µm
net220,364.695µm
net335,364.61µm
net533,363.48µm
net218,361.5µm
clknet_3_2_0_wb_clk_i_regs,356.24µm
net131,355.66µm
net35,353.4µm
clknet_3_0_0_wb_clk_i_regs,352.32µm
_2073_,352.2µm
net343,347.89µm
net78,339.77µm
net191,339.43µm
uart_inst.instance_to_wrap.rx_done,337.395µm
net351,332.69µm
net204,331.995µm
net337,327.795µm
net359,320.28µm
net134,320.22µm
uart_inst.glitch_filter_en,317.43µm
net424,316.93µm
net364,315.34µm
clknet_3_5_0_wb_clk_i_regs,315.12µm
net433,313.58µm
net271,312.42µm
net234,309.905µm
_1459_,308.09µm
net330,307.38µm
_1623_,307.34µm
clknet_3_4_0_wb_clk_i_regs,304.52µm
_2509_,303.68µm
net350,301.6µm
net197,300.94µm
net357,300.27µm
net132,300.14µm
net61,297.07µm
net369,293.7µm
net39,289.97µm
net135,289.96µm
net55,288.42µm
net245,288.07µm
clknet_3_1_0_wb_clk_i_regs,287.7µm
clknet_leaf_9_wb_clk_i_regs,287.56µm
clknet_3_3_0_wb_clk_i_regs,286.26µm
net589,286.01µm
net342,283.64µm
net129,283.12µm
net56,281.7µm
net194,280.995µm
net41,280.58µm
net202,279.815µm
_3004_,279.71µm
net54,279.23µm
clknet_leaf_0_wb_clk_i_regs,278.955µm
net138,278.02µm
net44,277.77µm
net201,277.13µm
net43,276.62µm
net365,275.7µm
net360,275.08µm
net38,275.01µm
net51,274.84µm
net45,274.63µm
net46,273.48µm
net60,272.69µm
net297,272.6µm
net49,272.57µm
net371,272.38µm
net167,272.35µm
net67,272.31µm
net57,271.72µm
net37,271.27µm
net50,271.03µm
net42,270.38µm
net174,270.06µm
net40,269.83µm
pwm_inst.RELOAD_REG\[8\],269.64µm
pwm_inst.timeout_flag,269.45µm
net52,268.7µm
net228,266.86µm
net59,265.87µm
net244,264.62µm
clknet_leaf_51_wb_clk_i_regs,264.58µm
net114,264.38µm
net53,264.24µm
net319,264.23µm
net48,263.25µm
