net,length_um
uart_inst.IRQ,891.86µm
net73,766.24µm
net343,636.445µm
clknet_0_wb_clk_i_regs,611.425µm
net72,607.015µm
net2,597.22µm
net339,596.68µm
net351,594.43µm
net75,567.5µm
net13,566.23µm
net208,562.9µm
net69,557µm
net997,556.72µm
net12,556.62µm
net68,553.7µm
net71,552.84µm
net70,548.98µm
net449,541.55µm
net10,532.21µm
net29,525.15µm
net34,523.9µm
net11,523.29µm
net6,522.32µm
net30,521.58µm
net9,518.84µm
net5,517.21µm
net14,514.96µm
net28,512.6µm
net33,510.63µm
net7,509.62µm
net15,507.4µm
net31,506.7µm
net26,506.62µm
net20,505.78µm
net32,505.48µm
net27,505.11µm
net24,504.34µm
net18,504.16µm
net21,503.7µm
net4,503.31µm
net16,503.13µm
net22,502.34µm
net17,501.595µm
net19,500.75µm
net23,497.05µm
net25,491.99µm
wb_clk_i,489.88µm
net335,488.72µm
net8,488.3µm
net3,487.86µm
net1,480.395µm
net534,478.3µm
net549,474.69µm
net355,469.11µm
net542,453.28µm
net342,450.6µm
clknet_3_2_0_wb_clk_i_regs,449.2µm
net438,425.9µm
net361,419.78µm
pwm_inst.IRQ,411.66µm
net365,407.65µm
net374,401.06µm
net370,392.97µm
net204,387.27µm
net348,387.2µm
net274,377.08µm
net234,372.57µm
net369,367.85µm
net350,367.28µm
net360,364.755µm
net368,364.62µm
net336,364µm
net347,362.44µm
net191,362.08µm
uart_inst.instance_to_wrap.rx_done,362.04µm
net338,352.96µm
_2541_,350.39µm
net356,350.38µm
net475,350.28µm
net218,350.1µm
net140,348.18µm
_1459_,346.64µm
net230,346.425µm
net346,344.94µm
net149,339.5µm
net134,339.14µm
net219,339.065µm
_1623_,338.74µm
net220,333.695µm
net479,330.84µm
net201,329.125µm
clknet_3_1_0_wb_clk_i_regs,326.92µm
net284,322.52µm
net340,322.5µm
net237,322.145µm
net40,320.3µm
net249,318.1µm
net345,316.54µm
clknet_3_0_0_wb_clk_i_regs,315.52µm
net197,309.735µm
net135,308.85µm
clknet_3_3_0_wb_clk_i_regs,307.88µm
net359,305.77µm
net372,305.175µm
pwm_inst.RELOAD_REG\[5\],304.52µm
net37,304.14µm
clknet_3_4_0_wb_clk_i_regs,303.39µm
net39,301.54µm
net78,300.18µm
net59,300.01µm
_2540_,299.22µm
net35,298.88µm
net300,296.57µm
net353,294.58µm
net198,294.34µm
net56,293.74µm
clknet_3_5_0_wb_clk_i_regs,293.37µm
net426,292.68µm
net354,292.58µm
net131,289.78µm
net192,287.605µm
_2743_,287.4µm
net57,286.51µm
net228,286.45µm
net38,286.05µm
net41,285.76µm
net55,283.79µm
net67,281.07µm
uart_inst.glitch_filter_en,280.2µm
net364,278.19µm
net371,278.18µm
net48,278.03µm
net590,277.2µm
net53,276.84µm
net52,276.62µm
net42,276.58µm
net190,276.38µm
net60,276.2µm
net51,276.1µm
_2073_,275.17µm
clknet_3_7_0_wb_clk_i_regs,274.86µm
net101,274.13µm
net126,273.54µm
net406,272.5µm
net45,271.34µm
net54,271.31µm
net174,271.3µm
net46,269.23µm
net44,269.08µm
net435,268.78µm
net43,268.5µm
net50,267.44µm
net288,266.62µm
_3010_,265.78µm
net199,265.605µm
clknet_3_6_0_wb_clk_i_regs,265.44µm
net132,264.6µm
net49,264.21µm
net118,261.86µm
net117,261.7µm
net195,259.71µm
net202,258.54µm
net386,257.52µm
net128,257.455µm
pwm_inst.TMR_WIRE\[6\],256.18µm
net271,255.98µm
pwm_inst.TMR_WIRE\[3\],255.4µm
_1429_,255.035µm
net94,254.04µm
net103,253.82µm
net242,253.8µm
net327,252.27µm
net85,252.12µm
net211,251.505µm
net206,250.68µm
clknet_leaf_18_wb_clk_i_regs,250.25µm
net99,250.22µm
pwm_inst.RELOAD_REG\[1\],247.06µm
pwm_inst.RELOAD_REG\[7\],246.995µm
net98,246.96µm
net310,246.51µm
net90,246.5µm
net106,245.82µm
_2692_,245.42µm
net97,243.87µm
net112,243.12µm
net102,242.98µm
net290,242.58µm
_2509_,242.57µm
net272,241.345µm
net334,240.99µm
net138,240.66µm
pwm_inst.RELOAD_REG\[6\],239.83µm
net224,238.84µm
net241,238.67µm
net295,237.53µm
net308,236.525µm
uart_inst.CFG_REG\[5\],236.02µm
net273,234.205µm
net150,233.775µm
_3037_,233.74µm
net255,233.66µm
net299,233.405µm
_3004_,233.06µm
_1430_,233µm
net285,232.92µm
clknet_leaf_51_wb_clk_i_regs,232.73µm
net263,232.72µm
net326,232.45µm
net178,231.54µm
_3038_,230.81µm
net181,228.79µm
net258,228.73µm
net431,227.9µm
net455,227.47µm
net333,226.86µm
_3045_,226.36µm
net321,226.24µm
_1461_,225.35µm
net540,225.34µm
_1518_,224.56µm
pwm_inst.RELOAD_REG\[3\],224.18µm
net297,223.85µm
net322,223.58µm
_3022_,223.42µm
net278,223.41µm
clknet_leaf_50_wb_clk_i_regs,223.135µm
_3032_,222.5µm
net193,222.095µm
net275,222.085µm
_1484_,221.83µm
_3034_,221.82µm
uart_inst.CFG_REG\[2\],221.53µm
net86,221.36µm
clknet_leaf_45_wb_clk_i_regs,221.06µm
_2912_,221.015µm
net375,220.76µm
net294,220.68µm
_1292_,220.66µm
uart_inst.CFG_REG\[7\],220.075µm
pwm_inst.RELOAD_REG\[8\],219.6µm
net328,218.8µm
pwm_inst.TMR_WIRE\[5\],218.68µm
clknet_leaf_7_wb_clk_i_regs,217.9µm
net215,217.11µm
net166,215.86µm
net104,215.46µm
net244,215.33µm
net185,214.93µm
clknet_leaf_58_wb_clk_i_regs,214.76µm
_3036_,214.14µm
net100,214.14µm
net170,214.095µm
net79,213.79µm
net122,212.565µm
net441,212.36µm
net595,211.89µm
net277,211.6µm
net266,211.56µm
_2917_,211.48µm
net125,211.17µm
net260,210.73µm
net168,210.18µm
_3024_,210.06µm
net113,209.38µm
net139,209.32µm
net83,209.12µm
net323,208.63µm
_3043_,207.34µm
net162,207.25µm
net447,207.15µm
net184,207µm
_1955_,206.61µm
pwm_inst.TMR_WIRE\[21\],206.47µm
net214,206.12µm
net396,206.06µm
pwm_inst.TMR_WIRE\[29\],205.965µm
_2251_,205.02µm
net205,204.29µm
clknet_leaf_8_wb_clk_i_regs,203.45µm
net210,202.695µm
