net,length_um
net581,202.39µm
net207,202.36µm
net124,201.395µm
net81,200.72µm
net518,200.01µm
net312,199.33µm
net121,199.285µm
net177,199.255µm
clknet_leaf_20_wb_clk_i_regs,199.04µm
_1892_,198.915µm
net267,198.86µm
net141,198.83µm
pwm_inst.timeout_flag,198.08µm
net221,198.06µm
net252,197.99µm
net262,197.88µm
net107,197.72µm
net366,197.52µm
_3039_,197.32µm
net226,197.05µm
net503,196.55µm
net390,196.225µm
net92,195.52µm
clknet_leaf_68_wb_clk_i_regs,195.5µm
net302,195.02µm
net229,194.93µm
clknet_leaf_35_wb_clk_i_regs,194.58µm
net82,194.57µm
net265,193.99µm
net96,193.9µm
net282,193.43µm
net305,193.21µm
_3025_,192.22µm
net325,191.92µm
net233,191.61µm
net235,191.155µm
net311,191.06µm
_2261_,190.93µm
net459,190.8µm
net309,190.59µm
dat_o\[2\]\[29\],190.44µm
net108,190.42µm
_3041_,190.155µm
net466,189.04µm
net296,188.9µm
net111,188.79µm
net256,187.955µm
net137,187.89µm
pwm_inst.CMPY_REG\[6\],187.545µm
net292,187.495µm
net120,187.42µm
net254,187.14µm
_3018_,186.52µm
net357,186.3µm
net109,186.06µm
clknet_leaf_54_wb_clk_i_regs,185.86µm
_3008_,185.435µm
pwm_inst.instance_to_wrap.TMREN_PE.in,185.385µm
_3033_,185.24µm
net130,184.94µm
_3031_,184.855µm
net363,184.5µm
net80,184.41µm
_2111_,183.365µm
uart_inst.CFG_REG\[4\],183.06µm
_3046_,182.7µm
net187,182.4µm
net183,182.32µm
ack\[2\],182.25µm
pwm_inst.TMR_WIRE\[2\],182.18µm
net259,182.18µm
net84,181.8µm
_3028_,181.38µm
net253,181.36µm
net421,180.91µm
net169,180.81µm
net95,180.3µm
net264,179.78µm
_1566_,179.52µm
pwm_inst.TMR_WIRE\[0\],179.015µm
clknet_leaf_48_wb_clk_i_regs,178.28µm
_2549_,177.495µm
net520,177.32µm
clknet_leaf_3_wb_clk_i_regs,176.98µm
net110,176.975µm
net200,176.715µm
net129,176.435µm
uart_inst.RXF,175.78µm
net573,175.4µm
net105,175.3µm
net248,175.14µm
dat_o\[2\]\[20\],174.13µm
_2224_,173.925µm
net483,173.82µm
dat_o\[2\]\[17\],173.81µm
net172,173.22µm
_1891_,172.97µm
net236,172.92µm
net298,172.68µm
_3017_,172.02µm
_2097_,171.625µm
_3042_,171.54µm
net367,171.52µm
net88,171.36µm
net452,171.18µm
clknet_leaf_15_wb_clk_i_regs,171.12µm
_2132_,171.035µm
net213,170.88µm
net418,170.675µm
pwm_inst.TMR_WIRE\[24\],170.45µm
net527,170.28µm
clknet_leaf_2_wb_clk_i_regs,170.2µm
net287,170.12µm
net362,169.76µm
_1218_,169.34µm
net324,169.04µm
net182,168.9µm
pwm_inst.RELOAD_REG\[4\],168.85µm
pwm_inst.RELOAD_REG\[24\],168.795µm
net291,168.66µm
pwm_inst.RELOAD_REG\[22\],167.64µm
net89,167.46µm
net381,167.43µm
clknet_leaf_60_wb_clk_i_regs,167.325µm
net313,167.32µm
dat_o\[2\]\[22\],166.02µm
net385,165.735µm
clknet_leaf_61_wb_clk_i_regs,165.7µm
net222,165.495µm
net301,165.16µm
_3007_,164.77µm
net304,164.32µm
net281,164.26µm
net316,164.1µm
net376,163.66µm
net320,163.55µm
clknet_leaf_26_wb_clk_i_regs,163.4µm
net584,163.08µm
net317,163.02µm
net163,162.13µm
net420,161.925µm
pwm_inst.TMR_WIRE\[20\],161.88µm
pwm_inst.CMPX_REG\[15\],161.82µm
_2220_,161.7µm
_1268_,161.63µm
net344,160.855µm
_2112_,160.68µm
net437,160.67µm
net217,160.575µm
net303,160.54µm
_3035_,160.36µm
dat_o\[2\]\[19\],159.9µm
pwm_inst.RELOAD_REG\[29\],159.715µm
pwm_inst.TMR_WIRE\[31\],159.6µm
_3019_,159.55µm
net257,159.48µm
net176,159.475µm
_1659_,158.2µm
_3026_,158.14µm
_3014_,158.1µm
net175,158.04µm
net279,158µm
uart_inst.instance_to_wrap.loopback_en,157.97µm
net161,157.86µm
_1279_,157.78µm
net307,157.73µm
net87,157.56µm
net115,157.5µm
net188,157.4µm
net144,157.36µm
net246,157.2µm
net443,156.82µm
_1611_,156.37µm
_2110_,156.36µm
net425,155.98µm
_2256_,155.84µm
_2591_,155.76µm
_2179_,154.89µm
net164,154.58µm
clknet_leaf_14_wb_clk_i_regs,154.44µm
net93,154.38µm
_1265_,154.16µm
clknet_leaf_11_wb_clk_i_regs,153.98µm
net223,153.97µm
net209,153.88µm
pwm_inst.RELOAD_REG\[21\],153.625µm
_1535_,153.54µm
_2637_,153.38µm
net136,153.2µm
_1283_,153.12µm
uart_inst.instance_to_wrap.tx_done,152.5µm
net173,152.48µm
_1913_,152.26µm
net261,151.94µm
_2592_,151.8µm
pwm_inst.RELOAD_REG\[19\],151.7µm
net383,151.62µm
net180,151.025µm
net501,150.1µm
clknet_leaf_9_wb_clk_i_regs,149.84µm
net524,149.56µm
dat_o\[2\]\[18\],149.48µm
_2130_,149.31µm
net377,149.14µm
net306,149.08µm
pwm_inst.TMR_WIRE\[25\],148.775µm
dat_o\[2\]\[8\],148.27µm
dat_o\[2\]\[3\],148.255µm
net167,148.24µm
net91,148.175µm
_2638_,148.16µm
_2835_,148.03µm
_2844_,147.815µm
net238,147.74µm
net445,147.64µm
_1234_,147.46µm
pwm_inst.RELOAD_REG\[25\],147.06µm
_1569_,146.96µm
net492,145.885µm
_1259_,145.76µm
pwm_inst.RELOAD_REG\[20\],145.68µm
_2262_,145.18µm
_1890_,144.58µm
_1483_,144.5µm
net268,144.46µm
net133,144.44µm
net384,144.3µm
_2881_,144.285µm
net408,144.28µm
net592,143.94µm
net405,143.56µm
net153,142.26µm
net352,142.14µm
dat_o\[2\]\[24\],142.08µm
_3029_,141.8µm
net400,141.8µm
_2548_,141.64µm
_1263_,141.155µm
net391,141.12µm
net270,140.63µm
net409,140.56µm
pwm_inst.RELOAD_REG\[2\],140.49µm
_2858_,140.38µm
clknet_leaf_49_wb_clk_i_regs,139.86µm
uart_inst.instance_to_wrap.rx_en,139.82µm
_3030_,139.47µm
net225,139.46µm
_2853_,139.325µm
pwm_inst.CMPX_REG\[5\],139.27µm
clknet_leaf_34_wb_clk_i_regs,138.72µm
clknet_leaf_62_wb_clk_i_regs,137.96µm
pwm_inst.RELOAD_REG\[0\],137.52µm
dat_o\[2\]\[0\],137.4µm
dat_o\[2\]\[6\],137.36µm
pwm_inst.CMPY_REG\[5\],137.34µm
net559,137.33µm
dat_o\[2\]\[21\],136.74µm
net394,136.48µm
_2891_,136.22µm
dat_o\[2\]\[7\],135.61µm
_2573_,135.22µm
_1269_,134.845µm
_2752_,134.76µm
net212,134.74µm
clknet_leaf_10_wb_clk_i_regs,134.74µm
net160,134.72µm
pwm_inst.instance_to_wrap.tmr_dir,134.685µm
_2888_,134.68µm
net293,134.13µm
_1270_,133.94µm
net417,133.94µm
_2723_,133.78µm
_2722_,133.14µm
net142,132.59µm
clknet_leaf_33_wb_clk_i_regs,131.79µm
_1267_,131.64µm
_2784_,131.6µm
net114,131.56µm
_2871_,131.485µm
net155,131.47µm
uart_inst.TXE,131.28µm
pwm_inst.CMPX_REG\[11\],131.12µm
net434,131.06µm
net411,130.93µm
_3012_,130.66µm
_1840_,130.56µm
net460,129.62µm
_2818_,129.54µm
_3006_,129.52µm
dat_o\[2\]\[25\],129.5µm
pwm_inst.CMPX_REG\[6\],128.93µm
net382,128.52µm
net423,127.96µm
clknet_leaf_66_wb_clk_i_regs,127.88µm
net414,127.78µm
_2133_,127.75µm
pwm_inst.CMPX_REG\[26\],127.595µm
net433,127.59µm
uart_inst.instance_to_wrap.fifo_rx.r_ptr_reg\[2\],127.42µm
net576,127.1µm
net179,127.07µm
pwm_inst.TMR_WIRE\[14\],126.8µm
dat_o\[2\]\[4\],126.72µm
_1464_,126.64µm
_2546_,126.62µm
uart_inst.instance_to_wrap.fifo_tx.r_ptr_reg\[3\],126.2µm
pwm_inst.CMPX_REG\[3\],126.025µm
net379,125.62µm
pwm_inst.CMPX_REG\[9\],125.57µm
_3040_,125.23µm
_2758_,125.22µm
_1275_,125.16µm
net157,125.015µm
net240,124.72µm
_2615_,124.7µm
net148,124.16µm
clknet_leaf_46_wb_clk_i_regs,123.68µm
clknet_leaf_16_wb_clk_i_regs,123.36µm
clknet_leaf_0_wb_clk_i_regs,123.16µm
net393,122.92µm
net127,122.75µm
_1264_,122.45µm
_1836_,122.4µm
net416,121.86µm
_2790_,121.56µm
_1480_,121.32µm
_1667_,120.96µm
net422,120.51µm
net574,119.855µm
net468,119.52µm
clknet_leaf_23_wb_clk_i_regs,118.88µm
net289,118.665µm
clknet_leaf_64_wb_clk_i_regs,117.96µm
stb\[2\],117.34µm
net239,117.26µm
pwm_inst.RELOAD_REG\[14\],117.07µm
net147,117.02µm
clknet_leaf_25_wb_clk_i_regs,117.02µm
clknet_leaf_4_wb_clk_i_regs,116.78µm
_1805_,116.4µm
clknet_leaf_19_wb_clk_i_regs,116.38µm
_2684_,116.29µm
net314,116.18µm
net269,116.04µm
net412,115.72µm
_2845_,115.605µm
_2219_,115.6µm
net399,115.13µm
clknet_leaf_59_wb_clk_i_regs,114.9µm
net404,114.56µm
pwm_inst.CMPY_REG\[3\],114.46µm
_1826_,113.54µm
clknet_leaf_28_wb_clk_i_regs,113.2µm
net276,113.15µm
pwm_inst.CMPY_REG\[9\],113.14µm
uart_inst.CFG_REG\[3\],113.11µm
uart_inst.instance_to_wrap.fifo_tx.full,113.1µm
clknet_leaf_30_wb_clk_i_regs,113.08µm
net145,112.85µm
net315,112.44µm
net516,112.44µm
net407,112.42µm
_1791_,112.06µm
pwm_inst.TMR_WIRE\[19\],111.94µm
_1419_,111.84µm
ack\[1\],111.51µm
net470,111.08µm
net203,110.87µm
net387,110.64µm
pwm_inst.CMPY_REG\[1\],110.635µm
_2603_,110.46µm
net143,110.31µm
dat_o\[2\]\[16\],109.39µm
net378,108.455µm
_2125_,108.38µm
clknet_leaf_13_wb_clk_i_regs,108.38µm
net243,108.14µm
net587,108.1µm
pwm_inst.CMPY_REG\[0\],108µm
_2708_,107.98µm
_1232_,107.56µm
net318,107.38µm
_2252_,107.36µm
_2647_,107.115µm
_2899_,107.02µm
_2138_,106.99µm
pwm_inst.CMPY_REG\[15\],106.82µm
clknet_leaf_17_wb_clk_i_regs,106.74µm
net522,106.4µm
_1447_,106.235µm
_1462_,106.04µm
net415,105.96µm
net427,105.89µm
net358,105.7µm
net436,105.58µm
net119,105.2µm
net319,104.6µm
net388,104.6µm
net146,104.3µm
net331,103.98µm
clknet_leaf_31_wb_clk_i_regs,103.9µm
net329,103.79µm
clknet_leaf_12_wb_clk_i_regs,103.58µm
net380,103.4µm
_1956_,103.13µm
net231,102.965µm
_2898_,102.63µm
net58,102.5µm
net123,102.46µm
_1261_,102.32µm
_1745_,102.32µm
_1669_,102µm
net36,101.86µm
_2172_,101.7µm
net397,101.075µm
clknet_leaf_65_wb_clk_i_regs,100.84µm
_1792_,100.79µm
clknet_leaf_5_wb_clk_i_regs,100.76µm
_2157_,100.74µm
pwm_inst.RELOAD_REG\[15\],100.7µm
clknet_leaf_55_wb_clk_i_regs,100.48µm
net395,100.28µm
_2908_,99.725µm
_2545_,99.51µm
_1291_,99.5µm
net401,99.4µm
clknet_leaf_56_wb_clk_i_regs,99.34µm
net159,99.1µm
_1463_,99.04µm
_2806_,99.02µm
pwm_inst.CFG_REG\[1\],99.015µm
_2760_,98.86µm
uart_inst.TX_FIFO_LEVEL_WIRE\[1\],98.86µm
_1460_,98.71µm
_1455_,98.57µm
pwm_inst.RELOAD_REG\[28\],98.515µm
pwm_inst.CMPX_REG\[13\],98.4µm
_2242_,98.3µm
pwm_inst.CMPY_REG\[23\],98.05µm
clknet_leaf_57_wb_clk_i_regs,97.98µm
clknet_leaf_40_wb_clk_i_regs,97.84µm
_1664_,97.8µm
net530,97.5µm
pwm_inst.CMPX_REG\[27\],97.44µm
_1773_,97.3µm
_2126_,97.195µm
net428,96.82µm
_2814_,96.8µm
dat_o\[2\]\[15\],96.69µm
_2652_,96.46µm
net424,96.23µm
uart_inst.PR_REG\[15\],95.98µm
net151,95.66µm
uart_inst.CFG_REG\[10\],95.11µm
uart_inst.MATCH_REG\[8\],94.985µm
pwm_inst.CMPY_REG\[17\],94.95µm
net498,94.84µm
uart_inst.RX_FIFO_FLUSH_REG,94.82µm
clknet_leaf_44_wb_clk_i_regs,94.54µm
clknet_leaf_21_wb_clk_i_regs,94.16µm
pwm_inst.instance_to_wrap.tmr_start,94.03µm
dat_o\[2\]\[1\],93.98µm
uart_inst.CFG_REG\[11\],93.5µm
_1439_,93.48µm
pwm_inst.PR_REG\[4\],93.38µm
net156,93.12µm
_2120_,92.66µm
uart_inst.en,92.62µm
net432,92.58µm
pwm_inst.RELOAD_REG\[13\],92.3µm
pwm_inst.TMR_WIRE\[22\],91.84µm
pwm_inst.CMPY_REG\[14\],91.73µm
clknet_leaf_1_wb_clk_i_regs,91.66µm
uart_inst.CFG_REG\[0\],91.24µm
clknet_leaf_22_wb_clk_i_regs,90.93µm
clknet_leaf_63_wb_clk_i_regs,90.88µm
net429,90.8µm
net413,90.7µm
_1625_,90.6µm
net430,90.38µm
_2674_,90.3µm
_2129_,89.625µm
_2866_,89.42µm
_2865_,87.96µm
uart_inst.RIS_REG\[4\],87.9µm
pwm_inst.RELOAD_REG\[30\],87.68µm
pwm_inst.RELOAD_REG\[26\],87.675µm
_2822_,87.58µm
_2116_,87.3µm
net341,87.295µm
net196,87.18µm
net512,87.14µm
pwm_inst.TMR_WIRE\[23\],87.12µm
net398,87.04µm
_2675_,87µm
net403,86.82µm
pwm_inst.CMPY_REG\[20\],86.72µm
_1951_,86.7µm
_2027_,86.58µm
_1457_,86.52µm
pwm_inst.TMR_WIRE\[8\],86.34µm
pwm_inst.instance_to_wrap.pwm0_reg,86.26µm
clknet_leaf_43_wb_clk_i_regs,86.22µm
_2867_,86.03µm
net61,85.88µm
pwm_inst.TMR_WIRE\[28\],85.74µm
net410,85.44µm
uart_inst.instance_to_wrap.uart_rx.current_state\[2\],85.3µm
net349,85.215µm
net514,85.21µm
_1719_,85.12µm
clknet_leaf_32_wb_clk_i_regs,85.04µm
_2079_,84.76µm
pwm_inst.CMPY_REG\[10\],84.415µm
_1530_,84.14µm
_2127_,84.12µm
net373,84.06µm
uart_inst.instance_to_wrap.uart_rx.f_error_reg,83.98µm
uart_inst.PR_REG\[4\],83.64µm
clknet_leaf_53_wb_clk_i_regs,83.64µm
net216,83.59µm
_2235_,83.44µm
net245,83.33µm
net337,83.29µm
_2877_,83.22µm
_2834_,82.97µm
_1454_,82.37µm
net392,82.32µm
pwm_inst.CMPY_REG\[8\],81.93µm
net332,81.02µm
pwm_inst.RELOAD_REG\[23\],80.92µm
clknet_leaf_52_wb_clk_i_regs,80.87µm
pwm_inst.PWM0CFG_REG\[8\],80.86µm
dat_o\[2\]\[5\],80.7µm
_2685_,80.66µm
pwm_inst.CMPY_REG\[13\],80.28µm
pwm_inst.CMPX_REG\[14\],79.925µm
_2695_,79.88µm
net165,79.56µm
uart_inst.instance_to_wrap.tx_en,79.5µm
pwm_inst.RELOAD_REG\[16\],79.42µm
pwm_inst.TMR_WIRE\[10\],79.22µm
clknet_leaf_29_wb_clk_i_regs,79.14µm
pwm_inst.RELOAD_REG\[27\],79.03µm
_2902_,78.98µm
net402,78.98µm
_1216_,78.4µm
uart_inst.instance_to_wrap.fifo_tx.w_ptr_reg\[3\],78.375µm
_1666_,77.96µm
_2897_,77.78µm
net508,77.78µm
dat_o\[2\]\[28\],77.71µm
pwm_inst.RELOAD_REG\[11\],77.5µm
uart_inst.TX_FIFO_LEVEL_WIRE\[2\],77.495µm
_2772_,77.24µm
_2131_,77.175µm
_2887_,76.9µm
net171,76.74µm
dat_o\[2\]\[31\],76.57µm
_1299_,76.54µm
uart_inst.PR_REG\[14\],76.54µm
net154,76.22µm
_2154_,76.18µm
pwm_inst.CMPX_REG\[21\],76.18µm
_0046_,75.78µm
pwm_inst.PR_REG\[3\],75.72µm
_1732_,75.48µm
dat_o\[2\]\[26\],75.26µm
uart_inst.instance_to_wrap.fifo_tx.r_ptr_reg\[2\],75.04µm
dat_o\[2\]\[27\],74.96µm
net158,74.9µm
dat_o\[2\]\[9\],74.69µm
dat_o\[2\]\[14\],74.59µm
_1693_,74.425µm
dat_o\[2\]\[23\],74.34µm
dat_o\[2\]\[30\],74.34µm
_1819_,74.28µm
pwm_inst.RELOAD_REG\[17\],74.175µm
_2092_,74.01µm
_2688_,73.95µm
_1592_,73.88µm
_2623_,73.3µm
uart_inst.MATCH_REG\[4\],73.105µm
pwm_inst.CMPX_REG\[16\],73.1µm
_1759_,72.89µm
pwm_inst.CMPX_REG\[23\],72.8µm
pwm_inst.TMR_WIRE\[26\],72.4µm
_2975_,72.32µm
net186,72.15µm
_2602_,72.14µm
net194,72.08µm
pwm_inst.CMPX_REG\[8\],72.03µm
_2090_,71.88µm
pwm_inst.PWMDT_REG\[3\],71.3µm
net232,71.26µm
_2044_,71.16µm
_2854_,71µm
net286,70.96µm
pwm_inst.CMPX_REG\[0\],70.625µm
_1256_,70.605µm
pwm_inst.RELOAD_REG\[12\],70.58µm
_1957_,70.5µm
clknet_leaf_39_wb_clk_i_regs,70.34µm
pwm_inst.CMPX_REG\[18\],70.32µm
uart_inst.instance_to_wrap.fifo_tx.w_ptr_reg\[2\],70.22µm
_1539_,70.18µm
_2789_,70.16µm
uart_inst.instance_to_wrap.fifo_rx.w_ptr_reg\[3\],70.095µm
_1217_,70.02µm
_1843_,69.82µm
pwm_inst.CMPX_REG\[2\],69.76µm
_2544_,69.685µm
_2619_,69.46µm
_2084_,69.38µm
net419,69.38µm
uart_inst.instance_to_wrap.uart_rx.data_reg\[8\],69.02µm
uart_inst.TX_FIFO_LEVEL_WIRE\[0\],68.82µm
_1305_,68.76µm
_2783_,68.74µm
_1673_,68.7µm
pwm_inst.TMR_WIRE\[7\],68.56µm
pwm_inst.PR_REG\[14\],68.52µm
_2971_,68.42µm
pwm_inst.CMPX_REG\[29\],68.22µm
_2124_,68µm
pwm_inst.CMPY_REG\[4\],67.9µm
_1788_,67.82µm
_1271_,67.455µm
clknet_leaf_27_wb_clk_i_regs,66.975µm
dat_o\[2\]\[13\],66.92µm
_2121_,66.74µm
_2878_,66.53µm
pwm_inst.PWMDT_REG\[2\],66.52µm
_1779_,66.32µm
pwm_inst.CMPX_REG\[17\],66.32µm
pwm_inst.TMR_WIRE\[4\],66.26µm
uart_inst.RX_FIFO_LEVEL_WIRE\[2\],66.24µm
pwm_inst.PR_REG\[5\],66µm
_1905_,65.95µm
_1686_,65.8µm
_2118_,65.8µm
net247,65.76µm
_2729_,65.68µm
net189,65.68µm
net477,65.66µm
pwm_inst.RELOAD_REG\[10\],65.54µm
_1665_,65.52µm
uart_inst.MATCH_REG\[6\],65.46µm
pwm_inst.CMPY_REG\[12\],65.34µm
pwm_inst.PR_REG\[10\],65.26µm
_2841_,65.24µm
_2698_,65.08µm
pwm_inst.PR_REG\[0\],65.04µm
uart_inst.instance_to_wrap.rx_glitch_filter.tick,65.04µm
pwm_inst.TMR_WIRE\[15\],64.99µm
_1289_,64.725µm
pwm_inst.RELOAD_REG\[18\],64.64µm
_2794_,64.58µm
pwm_inst.CMPX_REG\[25\],63.96µm
_1863_,63.66µm
_1763_,63.54µm
_1295_,63.44µm
_2175_,63.3µm
uart_inst.instance_to_wrap.fifo_rx.w_ptr_reg\[0\],63.02µm
_2943_,63µm
net74,62.82µm
clknet_leaf_24_wb_clk_i_regs,62.76µm
pwm_inst.RELOAD_REG\[31\],62.62µm
_2231_,62.5µm
pwm_inst.CMPY_REG\[28\],62.48µm
_1893_,62.12µm
net227,62.02µm
_2180_,61.74µm
_1325_,61.26µm
_2954_,60.96µm
pwm_inst.CMPX_REG\[19\],60.94µm
_1712_,60.58µm
_2241_,60.54µm
pwm_inst.CMPY_REG\[18\],60.515µm
net116,60.28µm
_2576_,60.065µm
_2659_,59.88µm
_1636_,59.82µm
_2756_,59.76µm
_1571_,59.74µm
_2583_,59.7µm
dat_o\[2\]\[12\],59.64µm
_1260_,59.62µm
pwm_inst.CMPY_REG\[16\],59.545µm
_2176_,59.52µm
pwm_inst.CFG_REG\[2\],59.3µm
_1278_,59.27µm
uart_inst.instance_to_wrap.fifo_rx.r_ptr_reg\[3\],58.72µm
_1969_,58.62µm
pwm_inst.PR_REG\[2\],58.6µm
uart_inst.PR_REG\[8\],58.14µm
_2128_,57.52µm
uart_inst.MATCH_REG\[7\],57.5µm
clknet_leaf_6_wb_clk_i_regs,57.34µm
_1786_,57.26µm
_1565_,57.22µm
_1972_,57.145µm
_2817_,57.11µm
_2741_,57.1µm
pwm_inst.CMPY_REG\[19\],57µm
_2837_,56.68µm
dat_o\[2\]\[11\],56.6µm
_1725_,56.5µm
uart_inst.IC_REG\[0\],56.48µm
uart_inst.RX_FIFO_LEVEL_WIRE\[0\],56.36µm
pwm_inst.TMR_WIRE\[17\],56.32µm
clknet_leaf_67_wb_clk_i_regs,56.18µm
_1627_,55.88µm
net389,55.88µm
_2114_,55.84µm
_2239_,55.62µm
_2574_,55.38µm
uart_inst.instance_to_wrap.uart_tx.current_state\[0\],55.31µm
_2702_,55.28µm
uart_inst.instance_to_wrap.uart_rx.p_error_reg,55.24µm
_1528_,55.22µm
_2103_,54.88µm
