net,length_um
pwm_inst.TMR_WIRE\[29\],199.295µm
clknet_leaf_9_wb_clk_i,199.115µm
net123,198.98µm
uart_inst.CFG_REG\[4\],198.77µm
uart_inst.CFG_REG\[5\],198.615µm
_2549_,197.44µm
_1218_,197.26µm
net49,197.12µm
net80,196.84µm
_3024_,195.58µm
net273,195.415µm
net399,195.06µm
_3017_,194.66µm
net169,194.285µm
net203,193.58µm
clknet_leaf_64_wb_clk_i,193.46µm
net263,193.36µm
net209,193.165µm
net161,193.08µm
net150,193.055µm
net76,192.975µm
pwm_inst.TMR_WIRE\[21\],192.85µm
pwm_inst.timeout_flag,192.43µm
net516,192.34µm
net194,192.205µm
_3041_,192.09µm
dat_o\[2\]\[29\],190.8µm
net256,189.21µm
dat_o\[2\]\[20\],187.71µm
net93,187.38µm
pwm_inst.instance_to_wrap.TMREN_PE.in,187.16µm
_2251_,186.79µm
net286,186.43µm
net246,186.18µm
net64,185.84µm
net217,185.465µm
net243,185.195µm
clknet_leaf_5_wb_clk_i,185.115µm
net125,184.96µm
net205,184.67µm
_3043_,184.665µm
_3008_,184.28µm
_3029_,184.14µm
net68,184.04µm
net95,183.69µm
uart_inst.CFG_REG\[7\],183.55µm
net245,183.32µm
_2132_,183.13µm
net66,183.1µm
_3018_,182.92µm
net171,182.23µm
net212,182.21µm
net96,182.075µm
net284,181.7µm
net159,181.2µm
ack\[2\],181.1µm
net367,180.9µm
net492,180.6µm
net121,180.52µm
_3030_,180.46µm
net2,180.42µm
net239,180.15µm
clknet_leaf_61_wb_clk_i,180.08µm
_3007_,179.56µm
pwm_inst.RELOAD_REG\[22\],179.49µm
pwm_inst.CMPY_REG\[6\],179.465µm
net35,179.44µm
pwm_inst.TMR_WIRE\[2\],179.15µm
_2130_,178.85µm
pwm_inst.RELOAD_REG\[4\],178.66µm
_2256_,178.64µm
net343,178.62µm
net147,178.02µm
pwm_inst.RELOAD_REG\[24\],177.945µm
_1891_,177.89µm
pwm_inst.TMR_WIRE\[24\],177.84µm
clknet_leaf_4_wb_clk_i,177.46µm
net237,177µm
_2111_,176.92µm
_3025_,176.7µm
uart_inst.instance_to_wrap.loopback_en,175.88µm
net94,175.84µm
net114,175.32µm
net156,175.28µm
clknet_leaf_54_wb_clk_i,174.98µm
net89,174.96µm
net228,174.86µm
net398,174.81µm
_1913_,174.37µm
_2097_,174.095µm
net145,173.9µm
dat_o\[2\]\[22\],173.56µm
net79,173.3µm
net347,172.56µm
net437,172.54µm
_3033_,171.98µm
net306,171.81µm
net72,171.7µm
net283,171.59µm
net442,171.55µm
pwm_inst.TMR_WIRE\[0\],170.88µm
net288,170.61µm
net452,170.455µm
_2224_,170.33µm
net285,170.26µm
net279,170.12µm
net295,169.98µm
net238,169.64µm
net153,169.595µm
net201,168.69µm
net71,168.66µm
clknet_leaf_18_wb_clk_i,168.535µm
dat_o\[2\]\[17\],168.39µm
net230,168.12µm
_1659_,167.775µm
net128,167.41µm
net473,166.98µm
net419,166.88µm
_1268_,166.75µm
dat_o\[2\]\[19\],166.46µm
net218,165.94µm
_2112_,165.61µm
uart_inst.instance_to_wrap.rx_en,165.06µm
net378,165.04µm
net291,165.025µm
uart_inst.instance_to_wrap.tx_done,164.92µm
_2637_,164.42µm
net197,164.34µm
net422,163.72µm
net302,163.59µm
_2835_,162.73µm
_1566_,162.64µm
net120,161.93µm
net139,161.36µm
net208,161.34µm
clknet_leaf_60_wb_clk_i,161.24µm
net416,160.48µm
net361,160.34µm
net287,160.04µm
net193,159.925µm
net98,159.82µm
net151,159.66µm
_3026_,159.5µm
net348,159.415µm
uart_inst.RXF,159.095µm
_3028_,158.72µm
pwm_inst.RELOAD_REG\[29\],158.695µm
net404,158.63µm
net471,158.12µm
net148,157.96µm
net260,157.935µm
pwm_inst.RELOAD_REG\[19\],157.02µm
net392,156.995µm
clknet_leaf_13_wb_clk_i,156.58µm
net73,156.56µm
net160,156.48µm
_1535_,156.095µm
clknet_leaf_12_wb_clk_i,156.06µm
net234,155.84µm
clknet_leaf_17_wb_clk_i,155.76µm
pwm_inst.TMR_WIRE\[31\],155.75µm
_2548_,155.56µm
