net,length_um
_1766_,54.5µm
_2962_,54.48µm
_2741_,54.22µm
pwm_inst.CMPY_REG\[11\],53.995µm
_2795_,53.965µm
_2116_,53.9µm
_1972_,53.88µm
uart_inst.instance_to_wrap.uart_rx.p_error_reg,53.82µm
net373,53.1µm
net136,53.08µm
_1749_,52.92µm
uart_inst.RX_FIFO_LEVEL_WIRE\[3\],52.92µm
dat_o\[2\]\[11\],52.86µm
uart_inst.PR_REG\[6\],52.86µm
_2657_,52.84µm
_1738_,52.76µm
_1874_,52.655µm
net261,52.6µm
_1274_,52.305µm
net432,51.98µm
_2229_,51.96µm
_1871_,51.92µm
pwm_inst.TMR_WIRE\[15\],51.9µm
_1325_,51.86µm
_2241_,51.82µm
uart_inst.instance_to_wrap.fifo_tx.w_ptr_reg\[0\],51.82µm
_1627_,51.74µm
_2698_,51.64µm
net388,51.48µm
pwm_inst.CMPY_REG\[16\],51.445µm
net50,51.44µm
uart_inst.instance_to_wrap.uart_tx.b_reg\[0\],51.385µm
_2914_,51.38µm
_2574_,51.36µm
pwm_inst.PWMDT_REG\[1\],51.26µm
uart_inst.instance_to_wrap.fifo_rx.w_ptr_reg\[1\],51.1µm
dat_o\[2\]\[10\],51.02µm
uart_inst.PR_REG\[8\],50.94µm
net264,50.78µm
_2864_,50.56µm
pwm_inst.CMPY_REG\[29\],50.48µm
uart_inst.RIS_REG\[9\],50.36µm
_1542_,50.3µm
uart_inst.RIS_REG\[3\],50.23µm
pwm_inst.PWMDT_REG\[3\],50.16µm
_1465_,50.1µm
_1706_,50.02µm
_2837_,49.9µm
uart_inst.IC_REG\[0\],49.72µm
_2217_,49.69µm
_2055_,49.62µm
_1278_,49.485µm
_2103_,49.26µm
net538,49.19µm
_1262_,49.17µm
_1953_,49.03µm
pwm_inst.CMPX_REG\[20\],48.62µm
_1696_,48.56µm
uart_inst.instance_to_wrap.uart_rx.brk\[8\],48.31µm
_2016_,48.18µm
uart_inst.instance_to_wrap.fifo_rx.w_ptr_reg\[2\],48.16µm
pwm_inst.RELOAD_REG\[9\],48.07µm
_1818_,48.04µm
_2607_,47.71µm
_1680_,47.64µm
_1661_,47.48µm
_1266_,47.37µm
uart_inst.instance_to_wrap.buad_gen.count_reg\[10\],47.3µm
_1935_,46.865µm
_2728_,46.52µm
_2233_,46.48µm
uart_inst.PR_REG\[1\],46.3µm
_2757_,46.18µm
pwm_inst.PWMDT_REG\[4\],46.16µm
_1863_,46.14µm
pwm_inst.TMR_WIRE\[11\],46.14µm
_1638_,46.13µm
_1699_,46.06µm
net537,45.94µm
_2158_,45.84µm
pwm_inst.CMPY_REG\[12\],45.66µm
_1471_,45.63µm
pwm_inst.PR_REG\[2\],45.56µm
pwm_inst.TMR_WIRE\[9\],45.32µm
pwm_inst.PWM0CFG_REG\[9\],44.96µm
_1515_,44.94µm
_1621_,44.78µm
_2856_,44.5µm
uart_inst.MATCH_REG\[5\],44.34µm
_2106_,44.2µm
_1478_,44.175µm
pwm_inst.CMPY_REG\[25\],44.08µm
_2128_,44.06µm
_2705_,43.9µm
net530,43.825µm
_3009_,43.78µm
_1610_,43.62µm
clknet_leaf_32_wb_clk_i,43.54µm
_2091_,43.42µm
net54,43.38µm
_2621_,43.365µm
_2910_,43.34µm
_1251_,43.335µm
pwm_inst.PR_REG\[6\],43.22µm
uart_inst.IM_REG\[9\],43.07µm
pwm_inst.CMPY_REG\[19\],42.84µm
wbs_dat_i[26],42.76µm
pwm_inst.CMPX_REG\[25\],42.74µm
uart_inst.RIS_REG\[5\],42.64µm
pwm_inst.CFG_REG\[0\],42.4µm
_1358_,42.35µm
uart_inst.instance_to_wrap.bits_count\[4\],42.3µm
_2045_,42.12µm
pwm_inst.TMR_WIRE\[16\],42.04µm
_1914_,41.93µm
_2736_,41.92µm
_2029_,41.88µm
_2104_,41.88µm
_2583_,41.8µm
uart_inst.MATCH_REG\[1\],41.64µm
_2554_,41.36µm
_1473_,41.32µm
_1648_,41.32µm
_1660_,41.32µm
_2855_,41.16µm
_2903_,41.16µm
_1870_,41.08µm
net518,41.08µm
_2973_,41.04µm
_1276_,41.02µm
_2062_,40.98µm
_2781_,40.88µm
uart_inst.RIS_REG\[0\],40.78µm
uart_inst.RX_FIFO_THRESHOLD_REG\[3\],40.74µm
pwm_inst.CMPY_REG\[24\],40.7µm
pwm_inst.CMPX_REG\[2\],40.64µm
_1663_,40.6µm
_1298_,40.5µm
_1423_,40.24µm
_2576_,40.2µm
pwm_inst.PR_REG\[7\],40.12µm
_2527_,40µm
_1381_,39.94µm
_1356_,39.9µm
_1807_,39.7µm
_2821_,39.6µm
uart_inst.RIS_REG\[7\],39.445µm
uart_inst.PR_REG\[5\],39.44µm
_2187_,39.42µm
_1969_,39.38µm
_1620_,39.28µm
_2813_,38.9µm
_2245_,38.82µm
_1776_,38.7µm
uart_inst.IM_REG\[3\],38.62µm
_2550_,38.44µm
_2633_,38.44µm
_1333_,38.38µm
pwm_inst.PR_REG\[15\],38.24µm
_1243_,38.12µm
_1758_,38.1µm
pwm_inst.instance_to_wrap.pwm0_inv,37.94µm
uart_inst.PR_REG\[0\],37.935µm
_1380_,37.86µm
_2918_,37.86µm
pwm_inst.PWM1CFG_REG\[4\],37.74µm
pwm_inst.TMR_WIRE\[18\],37.74µm
_1476_,37.735µm
pwm_inst.instance_to_wrap.pwm_dt_en,37.7µm
_1790_,37.6µm
_2547_,37.56µm
pwm_inst.CMPX_REG\[30\],37.48µm
_2764_,37.34µm
uart_inst.TX_FIFO_THRESHOLD_REG\[3\],37.26µm
pwm_inst.CMPX_REG\[4\],37.16µm
pwm_inst.RIS_REG\[0\],37.1µm
_2218_,37µm
_1685_,36.98µm
_1802_,36.98µm
_2775_,36.94µm
_2586_,36.88µm
_1999_,36.86µm
_2724_,36.86µm
pwm_inst.CMPY_REG\[26\],36.8µm
_1906_,36.74µm
uart_inst.instance_to_wrap.uart_tx.count_reg\[1\],36.72µm
_2174_,36.66µm
_1280_,36.63µm
_1769_,36.52µm
_2703_,36.48µm
pwm_inst.PR_REG\[0\],36.44µm
_1568_,36.32µm
_2969_,36.18µm
_1228_,36.02µm
_2524_,36µm
_1934_,35.9µm
_1448_,35.82µm
pwm_inst.PWM0CFG_REG\[11\],35.8µm
_2768_,35.76µm
_1782_,35.72µm
uart_inst.instance_to_wrap.buad_gen.count_reg\[7\],35.66µm
uart_inst.instance_to_wrap.uart_rx.current_state\[3\],35.645µm
_2716_,35.38µm
_1468_,35.34µm
pwm_inst.instance_to_wrap.dly_cntr\[6\],35.33µm
_2802_,35.28µm
uart_inst.instance_to_wrap.fifo_tx.w_ptr_reg\[1\],35.24µm
_2842_,35.22µm
pwm_inst.PWMFC_REG\[4\],35.18µm
_0044_,34.97µm
_1897_,34.72µm
_1752_,34.7µm
pwm_inst.TMR_WIRE\[12\],34.5µm
_1737_,34.38µm
pwm_inst.PWMFC_REG\[2\],34.38µm
_2228_,34.23µm
_2599_,34.22µm
wbs_dat_i[31],34.22µm
_1412_,33.92µm
pwm_inst.PWM1CFG_REG\[0\],33.92µm
pwm_inst.PWMFC_REG\[0\],33.92µm
uart_inst.IM_REG\[0\],33.84µm
pwm_inst.PR_REG\[12\],33.68µm
_2738_,33.64µm
_1794_,33.605µm
_2177_,33.54µm
_2237_,33.52µm
_2030_,33.42µm
_2590_,33.42µm
_1586_,33.2µm
uart_inst.instance_to_wrap.samples_count\[2\],33.185µm
_1442_,33.18µm
pwm_inst.CMPX_REG\[24\],33.17µm
_1281_,33.05µm
uart_inst.instance_to_wrap.uart_tx.b_reg\[1\],32.88µm
_1717_,32.8µm
uart_inst.instance_to_wrap.buad_gen.count_reg\[13\],32.72µm
_1510_,32.64µm
uart_inst.instance_to_wrap.fifo_tx.r_ptr_reg\[1\],32.625µm
_2654_,32.54µm
_2107_,32.52µm
pwm_inst.PWMFC_REG\[5\],32.42µm
uart_inst.instance_to_wrap.rx_glitch_filter.in,32.42µm
_1902_,32.4µm
uart_inst.RIS_REG\[6\],32.34µm
_1482_,32.3µm
_1346_,32.28µm
uart_inst.MATCH_REG\[3\],32.2µm
wbs_dat_i[29],32.18µm
pwm_inst.PWM0CFG_REG\[2\],32.16µm
_1304_,32.12µm
_1744_,32.12µm
_2751_,32.08µm
_1330_,31.98µm
_2873_,31.98µm
_2613_,31.72µm
_1506_,31.7µm
_1689_,31.68µm
_1901_,31.68µm
_2468_,31.6µm
_1504_,31.58µm
pwm_inst.instance_to_wrap.pr_reg\[0\],31.57µm
_2071_,31.54µm
_2525_,31.5µm
uart_inst.IC_REG\[5\],31.48µm
uart_inst.instance_to_wrap.uart_rx.count_reg\[1\],31.46µm
pwm_inst.PR_REG\[11\],31.42µm
uart_inst.CFG_REG\[8\],31.39µm
pwm_inst.CMPY_REG\[22\],31.36µm
uart_inst.instance_to_wrap.uart_rx.data_reg\[1\],31.26µm
_2812_,31.16µm
_2791_,31.12µm
_1247_,31.1µm
_1705_,31.08µm
pwm_inst.PWM0CFG_REG\[5\],31.04µm
_1894_,31.01µm
_1612_,30.93µm
pwm_inst.CMPX_REG\[7\],30.84µm
uart_inst.instance_to_wrap.buad_gen.count_reg\[11\],30.84µm
_2069_,30.74µm
pwm_inst.PWM0CFG_REG\[1\],30.7µm
_2141_,30.56µm
uart_inst.IC_REG\[6\],30.42µm
_1711_,30.4µm
_2579_,30.38µm
_1522_,30.35µm
uart_inst.instance_to_wrap.uart_rx.current_state\[5\],30.24µm
_1458_,30.2µm
_2095_,30.08µm
_2182_,30.08µm
pwm_inst.PR_REG\[9\],30.08µm
uart_inst.instance_to_wrap.uart_rx.brk\[9\],30.07µm
wbs_dat_i[30],30.06µm
_2578_,29.895µm
_1377_,29.88µm
net619,29.88µm
_2054_,29.76µm
_1376_,29.72µm
_1395_,29.68µm
_1434_,29.6µm
uart_inst.instance_to_wrap.rx_glitch_filter.shifter\[0\],29.6µm
_1923_,29.58µm
uart_inst.TX_FIFO_THRESHOLD_REG\[2\],29.56µm
_1238_,29.535µm
_2085_,29.52µm
uart_inst.instance_to_wrap.uart_rx.brk\[7\],29.49µm
_2585_,29.1µm
_1341_,29.08µm
_1516_,28.94µm
_1323_,28.88µm
_2274_,28.84µm
net595,28.82µm
uart_inst.CFG_REG\[6\],28.8µm
pwm_inst.PWM0CFG_REG\[7\],28.74µm
_1588_,28.68µm
_1293_,28.66µm
_2575_,28.62µm
pwm_inst.instance_to_wrap.dly_cntr\[7\],28.5µm
_2640_,28.36µm
_1446_,28.28µm
_3020_,28.24µm
_2976_,28.22µm
uart_inst.instance_to_wrap.fifo_tx.r_ptr_reg\[0\],28.185µm
uart_inst.IM_REG\[1\],28.16µm
_2122_,28.14µm
_1315_,28.04µm
uart_inst.instance_to_wrap.uart_rx.data_reg\[5\],27.96µm
uart_inst.instance_to_wrap.uart_rx.b_reg\[2\],27.9µm
_1617_,27.72µm
_2824_,27.68µm
pwm_inst.instance_to_wrap.pr_reg\[1\],27.58µm
uart_inst.instance_to_wrap.samples_count\[3\],27.54µm
_1508_,27.32µm
_2098_,27.24µm
_1622_,27.22µm
_2227_,27.22µm
pwm_inst.CMPX_REG\[12\],27.18µm
_1424_,27.08µm
_2089_,27.08µm
pwm_inst.PWM0CFG_REG\[3\],27.06µm
_2075_,27.04µm
uart_inst.instance_to_wrap.bits_count\[3\],27.04µm
uart_inst.instance_to_wrap.uart_tx.current_state\[3\],27.02µm
uart_inst.instance_to_wrap.buad_gen.count_reg\[6\],26.96µm
pwm_inst.CMPY_REG\[2\],26.94µm
_2243_,26.92µm
_1797_,26.82µm
_2087_,26.74µm
uart_inst.IC_REG\[1\],26.72µm
_2534_,26.7µm
wbs_dat_i[28],26.7µm
uart_inst.instance_to_wrap.uart_tx.current_state\[1\],26.68µm
_2604_,26.66µm
_2667_,26.66µm
uart_inst.instance_to_wrap.uart_rx.data_reg\[2\],26.605µm
_2379_,26.56µm
_2677_,26.56µm
pwm_inst.instance_to_wrap.dly_cntr\[5\],26.54µm
_2714_,26.525µm
_2151_,26.52µm
_1929_,26.46µm
_2185_,26.44µm
pwm_inst.PWM0CFG_REG\[10\],26.16µm
_2268_,26.1µm
_2765_,26.1µm
pwm_inst.TMR_WIRE\[13\],26.1µm
_1724_,25.96µm
_1421_,25.78µm
_2815_,25.775µm
_1451_,25.72µm
_2964_,25.64µm
uart_inst.instance_to_wrap.rx_glitch_filter.shifter\[1\],25.64µm
pwm_inst.PR_REG\[8\],25.62µm
uart_inst.instance_to_wrap.uart_tx.current_state\[5\],25.6µm
uart_inst.instance_to_wrap.buad_gen.count_reg\[12\],25.52µm
pwm_inst.TMR_WIRE\[17\],25.5µm
_2611_,25.3µm
uart_inst.IC_REG\[2\],25.22µm
_2053_,25.05µm
_1477_,25.04µm
_1573_,25µm
_1534_,24.94µm
_1730_,24.84µm
_2770_,24.84µm
pwm_inst.PWMDT_REG\[0\],24.84µm
pwm_inst.CMPY_REG\[21\],24.82µm
_1500_,24.58µm
uart_inst.MATCH_REG\[0\],24.56µm
net51,24.5µm
_1519_,24.44µm
wbs_dat_i[6],24.42µm
_1775_,24.38µm
uart_inst.instance_to_wrap.uart_rx.brk\[3\],24.35µm
uart_inst.instance_to_wrap.fifo_rx.array_reg\[9\]\[8\],24.24µm
_1582_,24.16µm
wbs_dat_i[5],24.1µm
pwm_inst.RIS_REG\[1\],24.06µm
_2194_,24.04µm
_1428_,23.98µm
_1677_,23.92µm
uart_inst.instance_to_wrap.fifo_rx.array_reg\[12\]\[0\],23.72µm
net460,23.68µm
_1960_,23.66µm
uart_inst.RX_FIFO_THRESHOLD_REG\[1\],23.54µm
wbs_dat_i[3],23.52µm
_2668_,23.5µm
_1812_,23.44µm
_2066_,23.44µm
_1487_,23.4µm
_2538_,23.36µm
_1799_,23.19µm
_1320_,23.12µm
uart_inst.instance_to_wrap.rx_glitch_filter.shifter\[2\],23.1µm
_1456_,23.06µm
uart_inst.TX_FIFO_THRESHOLD_REG\[1\],22.92µm
uart_inst.instance_to_wrap.uart_tx.current_state\[4\],22.92µm
net524,22.92µm
net597,22.9µm
_1533_,22.88µm
_2552_,22.88µm
_2135_,22.84µm
uart_inst.PR_REG\[12\],22.82µm
_1523_,22.8µm
_1589_,22.78µm
pwm_inst.PWMDT_REG\[5\],22.72µm
uart_inst.instance_to_wrap.buad_gen.count_reg\[9\],22.72µm
_2687_,22.7µm
_1895_,22.68µm
pwm_inst.PWM0CFG_REG\[4\],22.64µm
_1485_,22.6µm
net489,22.6µm
net605,22.58µm
_2595_,22.56µm
uart_inst.instance_to_wrap.bits_count\[0\],22.54µm
_1230_,22.52µm
_2244_,22.41µm
_2060_,22.4µm
wbs_dat_i[10],22.4µm
_1427_,22.38µm
_2735_,22.38µm
_1368_,22.26µm
uart_inst.instance_to_wrap.fifo_tx.array_reg\[3\]\[8\],22.22µm
uart_inst.instance_to_wrap.fifo_rx.array_reg\[8\]\[7\],22.14µm
_1939_,22.08µm
uart_inst.instance_to_wrap.uart_rx.count_reg\[3\],22.06µm
uart_inst.instance_to_wrap.uart_tx.count_reg\[3\],22.06µm
_2779_,22.04µm
uart_inst.instance_to_wrap.fifo_tx.array_reg\[7\]\[2\],22.04µm
_1425_,22.01µm
_1366_,21.94µm
wbs_dat_i[20],21.94µm
wbs_dat_i[2],21.9µm
pwm_inst.PWMDT_REG\[6\],21.84µm
uart_inst.instance_to_wrap.uart_rx.brk\[6\],21.77µm
wbs_dat_i[1],21.76µm
pwm_inst.PWM1CFG_REG\[2\],21.745µm
wbs_adr_i[15],21.74µm
uart_inst.instance_to_wrap.uart_rx.count_reg\[2\],21.72µm
uart_inst.instance_to_wrap.fifo_tx.array_reg\[3\]\[0\],21.68µm
wbs_dat_i[4],21.68µm
pwm_inst.IM_REG\[2\],21.61µm
_2183_,21.6µm
pwm_inst.CMPX_REG\[22\],21.6µm
uart_inst.IM_REG\[2\],21.54µm
uart_inst.instance_to_wrap.fifo_rx.array_reg\[13\]\[5\],21.54µm
_1789_,21.44µm
pwm_inst.instance_to_wrap.dly_cntr\[1\],21.44µm
uart_inst.RX_FIFO_THRESHOLD_REG\[2\],21.42µm
_1391_,21.38µm
_2664_,21.38µm
uart_inst.instance_to_wrap.uart_tx.b_reg\[3\],21.38µm
_1227_,21.32µm
dat_o\[2\]\[2\],21.32µm
uart_inst.instance_to_wrap.uart_rx.brk\[5\],21.31µm
net588,21.3µm
pwm_inst.PWM0CFG_REG\[0\],21.26µm
_2605_,21.24µm
uart_inst.CFG_REG\[12\],21.23µm
_2086_,21.1µm
uart_inst.instance_to_wrap.buad_gen.count_reg\[0\],21.08µm
uart_inst.CFG_REG\[9\],21.05µm
pwm_inst.CMPX_REG\[1\],21.04µm
uart_inst.IC_REG\[3\],20.98µm
pwm_inst.PWMFC_REG\[1\],20.96µm
uart_inst.instance_to_wrap.buad_gen.count_reg\[5\],20.96µm
_1755_,20.94µm
_2047_,20.92µm
_3011_,20.92µm
pwm_inst.PR_REG\[1\],20.92µm
_2257_,20.875µm
_1219_,20.86µm
_1527_,20.84µm
_2796_,20.82µm
uart_inst.instance_to_wrap.uart_rx.brk\[2\],20.79µm
_2314_,20.76µm
uart_inst.instance_to_wrap.rx_glitch_filter.ticker.counter\[0\],20.74µm
_2101_,20.72µm
_0047_,20.69µm
_2661_,20.68µm
_1844_,20.66µm
_2345_,20.66µm
_2571_,20.66µm
_1398_,20.64µm
uart_inst.instance_to_wrap.fifo_rx.array_reg\[13\]\[6\],20.62µm
_1328_,20.58µm
uart_inst.instance_to_wrap.fifo_rx.array_reg\[0\]\[2\],20.54µm
_1590_,20.52µm
_1273_,20.5µm
pwm_inst.IC_REG\[1\],20.46µm
_1576_,20.44µm
wbs_adr_i[8],20.44µm
_2850_,20.32µm
_2537_,20.24µm
_2762_,20.105µm
pwm_inst.instance_to_wrap.dly_cntr\[0\],20.1µm
_2463_,20.04µm
_1240_,20µm
_2278_,20µm
_2609_,19.94µm
wbs_dat_i[24],19.855µm
_1567_,19.84µm
_1581_,19.82µm
uart_inst.instance_to_wrap.buad_gen.count_reg\[14\],19.7µm
_1309_,19.68µm
wbs_dat_i[27],19.68µm
_1824_,19.66µm
wbs_dat_i[11],19.64µm
_2644_,19.62µm
_1372_,19.6µm
_2051_,19.6µm
pwm_inst.PWMFC_REG\[14\],19.54µm
uart_inst.instance_to_wrap.rx_glitch_filter.ticker.counter\[7\],19.52µm
_1399_,19.5µm
_1631_,19.46µm
_2569_,19.44µm
_2566_,19.4µm
_1369_,19.36µm
_3027_,19.36µm
_2730_,19.28µm
uart_inst.instance_to_wrap.fifo_rx.array_reg\[2\]\[2\],19.24µm
pwm_inst.CMPX_REG\[31\],19.2µm
pwm_inst.PWM1CFG_REG\[3\],19.2µm
net564,19.2µm
wbs_dat_i[22],19.18µm
_2683_,19.14µm
uart_inst.instance_to_wrap.samples_count\[4\],19.14µm
uart_inst.PR_REG\[3\],19.12µm
pwm_inst.instance_to_wrap.pr_reg\[15\],19.1µm
_1861_,19.08µm
uart_inst.instance_to_wrap.fifo_tx.array_reg\[12\]\[5\],19.06µm
uart_inst.instance_to_wrap.rx_filtered,19.06µm
uart_inst.instance_to_wrap.uart_tx.b_reg\[2\],19.06µm
_2876_,19.04µm
_1414_,18.98µm
_1828_,18.82µm
_3023_,18.78µm
_2083_,18.74µm
_2240_,18.74µm
wbs_dat_o[13],18.72µm
_2696_,18.54µm
_1486_,18.48µm
net543,18.48µm
wbs_adr_i[16],18.46µm
_2869_,18.4µm
net522,18.4µm
uart_inst.instance_to_wrap.fifo_rx.empty,18.39µm
_2411_,18.36µm
uart_inst.IC_REG\[7\],18.32µm
_2628_,18.28µm
_2839_,18.26µm
wbs_dat_o[28],18.26µm
_2833_,18.24µm
pwm_inst.PWM1CFG_REG\[1\],18.205µm
uart_inst.IC_REG\[8\],18.2µm
_2671_,18.16µm
uart_inst.instance_to_wrap.uart_rx.data_reg\[6\],18.135µm
_1393_,18.1µm
pwm_inst.PWMDT_REG\[7\],18.06µm
uart_inst.instance_to_wrap.rx_glitch_filter.shifter\[6\],18.04µm
wbs_dat_i[18],18.04µm
_1642_,18.01µm
_2673_,17.94µm
_2192_,17.86µm
uart_inst.instance_to_wrap.samples_count\[1\],17.84µm
_1436_,17.815µm
net976,17.76µm
_1479_,17.74µm
pwm_inst.CMPY_REG\[7\],17.74µm
uart_inst.instance_to_wrap.bits_count\[1\],17.74µm
wbs_dat_o[3],17.72µm
uart_inst.MATCH_REG\[2\],17.68µm
_2206_,17.64µm
_1615_,17.62µm
wbs_adr_i[18],17.62µm
net498,17.6µm
_1354_,17.54µm
uart_inst.instance_to_wrap.fifo_tx.array_reg\[7\]\[8\],17.52µm
_2392_,17.5µm
uart_inst.instance_to_wrap.fifo_rx.array_reg\[8\]\[8\],17.48µm
wbs_dat_i[25],17.46µm
uart_inst.IM_REG\[4\],17.42µm
_1990_,17.4µm
_2913_,17.36µm
wbs_dat_o[2],17.34µm
_2846_,17.32µm
uart_inst.instance_to_wrap.fifo_rx.array_reg\[7\]\[6\],17.32µm
net666,17.32µm
_1831_,17.28µm
_2193_,17.28µm
_2338_,17.28µm
uart_inst.RIS_REG\[1\],17.28µm
_1591_,17.26µm
_1783_,17.22µm
uart_inst.instance_to_wrap.fifo_rx.array_reg\[11\]\[1\],17.22µm
_2212_,17.18µm
uart_inst.instance_to_wrap.uart_rx.b_reg\[0\],17.17µm
wbs_dat_i[8],17.16µm
_2620_,17.145µm
_1301_,17.12µm
_1996_,17.04µm
_1657_,17.02µm
uart_inst.instance_to_wrap.fifo_tx.array_reg\[4\]\[0\],16.94µm
uart_inst.instance_to_wrap.uart_tx.count_reg\[2\],16.94µm
uart_inst.RX_FIFO_THRESHOLD_REG\[0\],16.9µm
_1872_,16.88µm
wbs_dat_o[17],16.88µm
_1512_,16.86µm
uart_inst.PR_REG\[10\],16.86µm
_1859_,16.82µm
_2339_,16.82µm
uart_inst.instance_to_wrap.fifo_rx.array_reg\[8\]\[6\],16.82µm
_1741_,16.8µm
wbs_adr_i[12],16.74µm
wbs_dat_i[12],16.74µm
_1613_,16.72µm
wbs_adr_i[14],16.7µm
_2560_,16.68µm
_1628_,16.62µm
_1469_,16.6µm
_1860_,16.6µm
_2215_,16.56µm
_2669_,16.56µm
net609,16.52µm
_1521_,16.5µm
_1801_,16.48µm
_2093_,16.455µm
_1489_,16.44µm
pwm_inst.RIS_REG\[2\],16.42µm
pwm_inst.PWM1CFG_REG\[5\],16.4µm
uart_inst.instance_to_wrap.fifo_tx.array_reg\[1\]\[7\],16.4µm
uart_inst.instance_to_wrap.uart_rx.b_reg\[3\],16.4µm
pwm_inst.instance_to_wrap.pr_reg\[7\],16.34µm
wbs_dat_i[21],16.28µm
_2889_,16.26µm
pwm_inst.CMPY_REG\[30\],16.26µm
wbs_adr_i[7],16.24µm
wbs_cyc_i,16.24µm
_1629_,16.22µm
_1584_,16.18µm
uart_inst.instance_to_wrap.uart_rx.data_reg\[0\],16.16µm
_1795_,16.155µm
_1896_,16.14µm
pwm_inst.instance_to_wrap.tmr_run,16.14µm
_1365_,16.1µm
_2551_,16.1µm
_3016_,16.1µm
_1959_,16.08µm
_2094_,16.06µm
uart_inst.RIS_REG\[8\],16.03µm
uart_inst.instance_to_wrap.uart_rx.data_reg\[3\],16µm
wbs_dat_i[7],16µm
_1418_,15.96µm
wbs_dat_i[14],15.96µm
_2197_,15.94µm
uart_inst.PR_REG\[11\],15.9µm
_1408_,15.88µm
uart_inst.instance_to_wrap.buad_gen.count_reg\[15\],15.86µm
net963,15.78µm
pwm_inst.CMPX_REG\[28\],15.76µm
_2088_,15.75µm
net438,15.72µm
_1633_,15.68µm
uart_inst.instance_to_wrap.buad_gen.count_reg\[3\],15.68µm
uart_inst.instance_to_wrap.fifo_rx.array_reg\[4\]\[3\],15.68µm
uart_inst.instance_to_wrap.fifo_rx.array_reg\[10\]\[8\],15.645µm
_1930_,15.64µm
_1698_,15.6µm
uart_inst.instance_to_wrap.fifo_rx.array_reg\[8\]\[5\],15.6µm
uart_inst.instance_to_wrap.uart_tx.current_state\[2\],15.6µm
_2081_,15.56µm
uart_inst.instance_to_wrap.fifo_rx.array_reg\[2\]\[6\],15.525µm
_1388_,15.5µm
wbs_dat_o[6],15.5µm
net52,15.5µm
_2689_,15.48µm
uart_inst.instance_to_wrap.fifo_rx.array_reg\[1\]\[6\],15.48µm
_1809_,15.46µm
_2819_,15.46µm
net575,15.46µm
uart_inst.PR_REG\[2\],15.4µm
_1912_,15.38µm
_2872_,15.38µm
_1585_,15.36µm
_2663_,15.36µm
uart_inst.instance_to_wrap.rx_glitch_filter.shifter\[5\],15.36µm
uart_inst.TX_FIFO_THRESHOLD_REG\[0\],15.34µm
net526,15.3µm
uart_inst.instance_to_wrap.uart_tx.data_reg\[5\],15.24µm
_1721_,15.22µm
uart_inst.instance_to_wrap.fifo_rx.array_reg\[11\]\[0\],15.22µm
net1002,15.2µm
uart_inst.instance_to_wrap.fifo_tx.array_reg\[7\]\[3\],15.18µm
wbs_adr_i[13],15.16µm
_1817_,15.12µm
_0032_,15.1µm
_3005_,15.1µm
wbs_we_i,15.08µm
uart_inst.instance_to_wrap.fifo_rx.array_reg\[3\]\[3\],15.06µm
wbs_dat_o[21],15.04µm
_1525_,14.98µm
uart_inst.instance_to_wrap.uart_rx.current_state\[1\],14.96µm
uart_inst.instance_to_wrap.fifo_tx.array_reg\[7\]\[6\],14.92µm
_1066_,14.88µm
uart_inst.instance_to_wrap.fifo_rx.array_reg\[0\]\[0\],14.88µm
uart_inst.instance_to_wrap.uart_rx.brk\[4\],14.81µm
_3003_,14.8µm
_1475_,14.78µm
_2076_,14.76µm
uart_inst.instance_to_wrap.fifo_rx.array_reg\[8\]\[1\],14.76µm
_1701_,14.68µm
pwm_inst.instance_to_wrap.pr_reg\[10\],14.68µm
uart_inst.instance_to_wrap.fifo_tx.array_reg\[11\]\[7\],14.68µm
wbs_dat_o[15],14.66µm
net865,14.66µm
uart_inst.instance_to_wrap.fifo_tx.array_reg\[8\]\[1\],14.64µm
_1317_,14.62µm
uart_inst.instance_to_wrap.rx_glitch_filter.shifter\[4\],14.62µm
uart_inst.instance_to_wrap.fifo_rx.array_reg\[13\]\[7\],14.6µm
wbs_dat_o[8],14.58µm
uart_inst.instance_to_wrap.fifo_tx.array_reg\[3\]\[7\],14.56µm
_1917_,14.52µm
_2959_,14.48µm
_2960_,14.48µm
_2156_,14.46µm
uart_inst.instance_to_wrap.samples_count\[0\],14.385µm
wbs_dat_o[4],14.36µm
_2582_,14.34µm
uart_inst.instance_to_wrap.fifo_tx.array_reg\[12\]\[7\],14.34µm
_2072_,14.32µm
_1378_,14.3µm
_1731_,14.3µm
uart_inst.instance_to_wrap.fifo_rx.array_reg\[15\]\[8\],14.3µm
_1237_,14.28µm
uart_inst.instance_to_wrap.fifo_rx.array_reg\[12\]\[2\],14.26µm
wbs_dat_o[14],14.2µm
wbs_dat_o[19],14.2µm
wbs_dat_o[30],14.2µm
uart_inst.instance_to_wrap.uart_rx.brk\[1\],14.19µm
_2892_,14.16µm
wbs_dat_i[23],14.16µm
wbs_adr_i[2],14.15µm
_1413_,14.14µm
_1443_,14.14µm
_1903_,14.14µm
wbs_dat_o[23],14.12µm
uart_inst.instance_to_wrap.fifo_rx.array_reg\[0\]\[4\],14.06µm
uart_inst.instance_to_wrap.fifo_rx.array_reg\[4\]\[5\],14.06µm
_2816_,14.025µm
uart_inst.instance_to_wrap.fifo_tx.array_reg\[13\]\[8\],14.02µm
uart_inst.instance_to_wrap.fifo_tx.array_reg\[7\]\[0\],13.96µm
uart_inst.instance_to_wrap.fifo_tx.array_reg\[0\]\[1\],13.94µm
wbs_dat_i[0],13.94µm
